id,label,umls_xref
DOID:0050826,tricuspid valve disease,UMLS_CUI:C0264776
DOID:0050834,CHARGE syndrome,UMLS_CUI:C0265354|UMLS_CUI:C2936502
DOID:0050835,generalized dystonia,UMLS_CUI:C0013423|UMLS_CUI:C0154674|UMLS_CUI:C0154675|UMLS_CUI:C0393598|UMLS_CUI:C0393601|UMLS_CUI:C0752207
DOID:0050841,focal hand dystonia,UMLS_CUI:C0154676
DOID:0050847,sleep apnea,UMLS_CUI:C0037315
DOID:0050848,obstructive sleep apnea,UMLS_CUI:C0520679
DOID:0050854,Muckle-Wells syndrome,UMLS_CUI:C0268390
DOID:0050861,colorectal adenocarcinoma,UMLS_CUI:C1319315
DOID:0050865,tongue squamous cell carcinoma,UMLS_CUI:C0349566
DOID:0050876,Caroli disease,UMLS_CUI:C0162510
DOID:0050902,medulloblastoma,UMLS_CUI:C0025149|UMLS_CUI:C0206663|UMLS_CUI:C1334410
DOID:0050908,myelodysplastic syndrome,UMLS_CUI:C2713368
DOID:0050957,spinocerebellar ataxia type 4,UMLS_CUI:C0752122
DOID:0060013,X-linked severe combined immunodeficiency,UMLS_CUI:C1279481
DOID:0060020,reticular dysgenesis,UMLS_CUI:C0272167
DOID:0060025,immunoglobulin alpha deficiency,UMLS_CUI:C0162538
DOID:0060040,pervasive developmental disorder,UMLS_CUI:C0154451
DOID:0060055,popliteal pterygium syndrome,UMLS_CUI:C0265259
DOID:0060058,lymphoma,UMLS_CUI:C0024299|UMLS_CUI:C0598798
DOID:0060060,non-Hodgkin lymphoma,UMLS_CUI:C0024305
DOID:0060119,pharynx cancer,UMLS_CUI:C0031347
DOID:0060123,connective tissue benign neoplasm,UMLS_CUI:C0037579
DOID:0060125,heavy chain disease,UMLS_CUI:C0018852|UMLS_CUI:C0018854|UMLS_CUI:C0242310
DOID:0060135,apraxia,UMLS_CUI:C0003635
DOID:0060155,visual agnosia,UMLS_CUI:C2930796
DOID:0060157,diffuse alopecia areata,UMLS_CUI:C0263479
DOID:0060160,childhood spinal muscular atrophy,UMLS_CUI:C0700595
DOID:0060161,Kennedy's disease,UMLS_CUI:C1839259
DOID:0060162,dentatorubral-pallidoluysian atrophy,UMLS_CUI:C0751781
DOID:0060178,familial hemiplegic migraine,UMLS_CUI:C0477373
DOID:0060180,colitis,UMLS_CUI:C0009319
DOID:0060181,ischemic colitis,UMLS_CUI:C0162529
DOID:0060182,microscopic colitis,UMLS_CUI:C0400821
DOID:0060183,collagenous colitis,UMLS_CUI:C0238067
DOID:0060184,lymphocytic colitis,UMLS_CUI:C0400822
DOID:0060185,Clostridium difficile colitis,UMLS_CUI:C0014358|UMLS_CUI:C0085819|UMLS_CUI:C1257843|UMLS_CUI:C1257844|UMLS_CUI:C1257845
DOID:0060186,chemical colitis,UMLS_CUI:C0029512
DOID:0060187,diversion colitis,UMLS_CUI:C0029512
DOID:0060189,ileitis,UMLS_CUI:C0020877
DOID:0060192,Crohn's colitis,UMLS_CUI:C0156147
DOID:0060215,Balo concentric sclerosis,UMLS_CUI:C0007795
DOID:0060216,Cogan syndrome,UMLS_CUI:C0271270
DOID:0060217,Cogan-Reese syndrome,UMLS_CUI:C1168173
DOID:0060218,CREST syndrome,UMLS_CUI:C0206138|UMLS_CUI:C1527226
DOID:0060224,atrial fibrillation,UMLS_CUI:C0004238
DOID:0060226,acrofrontofacionasal dysostosis,UMLS_CUI:C1860118
DOID:0060227,Adams-Oliver syndrome,UMLS_CUI:C0265268
DOID:0060230,basal ganglia calcification,UMLS_CUI:C0393590
DOID:0060234,Carpenter syndrome,UMLS_CUI:C1275078
DOID:0060235,carnitine palmitoyltransferase II deficiency,UMLS_CUI:C0342790
DOID:0060236,xanthinuria,UMLS_CUI:C0220988
DOID:0060237,Warburg micro syndrome,UMLS_CUI:C1838625
DOID:0060238,Van Maldergem syndrome,UMLS_CUI:C1832390
DOID:0060239,Van der Woude syndrome,UMLS_CUI:C0175697|UMLS_CUI:C1834339
DOID:0060241,3-M syndrome,UMLS_CUI:C1848862|UMLS_CUI:C3280146
DOID:0060242,synpolydactyly,UMLS_CUI:C2699746
DOID:0060243,stuttering,UMLS_CUI:C0038131|UMLS_CUI:C0038506|UMLS_CUI:C0454542|UMLS_CUI:C0751527|UMLS_CUI:C0751528|UMLS_CUI:C0751529|UMLS_CUI:C3489627
DOID:0060246,MASA syndrome,UMLS_CUI:C0795953
DOID:0060247,Smith-McCort dysplasia,UMLS_CUI:C1846431
DOID:0060248,Simpson-Golabi-Behmel syndrome type 1,UMLS_CUI:C0796154
DOID:0060249,scoliosis,UMLS_CUI:C0036439
DOID:0060251,sclerosteosis,UMLS_CUI:C0265301
DOID:0060252,sclerocornea,UMLS_CUI:C1853235
DOID:0060254,Robinow syndrome,UMLS_CUI:C0265205
DOID:0060255,rippling muscle disease 2,UMLS_CUI:C1853698
DOID:0060256,Dowling-Degos disease,UMLS_CUI:C0406811|UMLS_CUI:C3714534
DOID:0060257,dyschromatosis symmetrica hereditaria,UMLS_CUI:C0406775
DOID:0060258,reticulate acropigmentation of Kitamura,UMLS_CUI:C0406811
DOID:0060260,ptosis,UMLS_CUI:C0005745
DOID:0060261,congenital ptosis,UMLS_CUI:C0266573
DOID:0060262,gallbladder disease,UMLS_CUI:C0016977
DOID:0060263,porencephaly,UMLS_CUI:C0302892|UMLS_CUI:C1867983|UMLS_CUI:C3698507
DOID:0060264,pontocerebellar hypoplasia,UMLS_CUI:C0266468
DOID:0060267,pontocerebellar hypoplasia type 2A,UMLS_CUI:C1848526
DOID:0060268,pontocerebellar hypoplasia type 2B,UMLS_CUI:C2676466
DOID:0060269,pontocerebellar hypoplasia type 2C,UMLS_CUI:C2676465
DOID:0060272,pontocerebellar hypoplasia type 3,UMLS_CUI:C1842687
DOID:0060273,pontocerebellar hypoplasia type 4,UMLS_CUI:C1856974
DOID:0060274,pontocerebellar hypoplasia type 5,UMLS_CUI:C1857762
DOID:0060275,pontocerebellar hypoplasia type 6,UMLS_CUI:C1969084
DOID:0060280,primary pigmented nodular adrenocortical disease,UMLS_CUI:C1864846|UMLS_CUI:C1864851
DOID:0060282,persistent hyperplastic primary vitreous,UMLS_CUI:C0266568
DOID:0060284,paroxysmal nocturnal hemoglobinuria,UMLS_CUI:C0019050|UMLS_CUI:C0024790|UMLS_CUI:C0086774
DOID:0060285,parietal foramina,UMLS_CUI:C1868598
DOID:0060288,omodysplasia,UMLS_CUI:C4510897
DOID:0060289,Ohdo syndrome,UMLS_CUI:C0796094
DOID:0060290,"blepharophimosis-intellectual disability syndrome, SBBYS type",UMLS_CUI:C1863557
DOID:0060291,oculodentodigital dysplasia,UMLS_CUI:C0812437
DOID:0060294,cold-induced sweating syndrome,UMLS_CUI:C1832409
DOID:0060296,congenital secretory chloride diarrhea 1,UMLS_CUI:C0267662
DOID:0060304,dyschromatosis universalis hereditaria,UMLS_CUI:C2930995
DOID:0060305,megalocornea,UMLS_CUI:C0344530
DOID:0060306,Meier-Gorlin syndrome,UMLS_CUI:C1868684
DOID:0060311,adenoid hypertrophy,UMLS_CUI:C0149825
DOID:0060312,angular cheilitis,UMLS_CUI:C0221237
DOID:0060313,tracheomalacia,UMLS_CUI:C0392109
DOID:0060315,oral hairy leukoplakia,UMLS_CUI:C0206186
DOID:0060316,orofaciodigital syndrome I,UMLS_CUI:C0026363|UMLS_CUI:C0029294|UMLS_CUI:C1510460
DOID:0060317,lung abscess,UMLS_CUI:C0024110
DOID:0060318,acute promyelocytic leukemia,UMLS_CUI:C0023487
DOID:0060319,cardiac arrest,UMLS_CUI:C0018790|UMLS_CUI:C0600228
DOID:0060320,inguinal hernia,UMLS_CUI:C0019294|UMLS_CUI:C0019295|UMLS_CUI:C0019296
DOID:0060321,umbilical hernia,UMLS_CUI:C0795690|UMLS_CUI:C1306503
DOID:0060322,mastoiditis,UMLS_CUI:C0024904
DOID:0060325,cervical polyp,UMLS_CUI:C0153996
DOID:0060326,myelomeningocele,UMLS_CUI:C0025312|UMLS_CUI:C0086664|UMLS_CUI:C0751316
DOID:0060327,omphalocele,UMLS_CUI:C0795690|UMLS_CUI:C1306503
DOID:0060329,ectopic pregnancy,UMLS_CUI:C0032987
DOID:0060331,mitochondrial complex V (ATP synthase) deficiency nuclear type 2,UMLS_CUI:C4273660
DOID:0060337,CEDNIK syndrome,UMLS_CUI:C1836033
DOID:0060344,acrodermatitis chronica atrophicans,UMLS_CUI:C0029805
DOID:0060345,bacillary angiomatosis,UMLS_CUI:C0085434
DOID:0060346,Native American myopathy,UMLS_CUI:C1850625
DOID:0060347,acrorenal syndrome,UMLS_CUI:C3495490
DOID:0060348,hypoparathyroidism-retardation-dysmorphism syndrome,UMLS_CUI:C1855840
DOID:0060349,"microcephaly with or without chorioretinopathy, lymphedema, or mental retardation",UMLS_CUI:C1835265
DOID:0060350,adenine phosphoribosyltransferase deficiency,UMLS_CUI:C0268120|UMLS_CUI:C3665382
DOID:0060352,Kleefstra syndrome 1,UMLS_CUI:C0795833
DOID:0060354,Stormorken syndrome,UMLS_CUI:C1861451
DOID:0060356,Vici syndrome,UMLS_CUI:C1855772
DOID:0060357,chylomicron retention disease,UMLS_CUI:C0795956
DOID:0060358,multiple acyl-CoA dehydrogenase deficiency,UMLS_CUI:C0268596|UMLS_CUI:C1856401|UMLS_CUI:C1856403|UMLS_CUI:C1856405
DOID:0060361,punctate palmoplantar keratoderma,UMLS_CUI:C1274216
DOID:0060362,punctate palmoplantar keratoderma type III,UMLS_CUI:C0545044
DOID:0060363,glycerol kinase deficiency,UMLS_CUI:C0574108
DOID:0060366,Hennekam syndrome,UMLS_CUI:C0340834
DOID:0060373,orofaciodigital syndrome III,UMLS_CUI:C0406726
DOID:0060374,orofaciodigital syndrome IV,UMLS_CUI:C0406727
DOID:0060375,orofaciodigital syndrome V,UMLS_CUI:C1868118
DOID:0060376,Joubert syndrome with orofaciodigital defect,UMLS_CUI:C2745997
DOID:0060378,orofaciodigital syndrome VIII,UMLS_CUI:C0796101
DOID:0060381,orofaciodigital syndrome XI,UMLS_CUI:C2752048
DOID:0060382,orofaciodigital syndrome IX,UMLS_CUI:C0796102
DOID:0060383,acrofacial dysostosis Rodriguez type,UMLS_CUI:C1860119
DOID:0060384,"acrofacial dysostosis, Catania type",UMLS_CUI:C2931762
DOID:0060385,"acrofacial dysostosis, Patagonia type",UMLS_CUI:C1866168
DOID:0060386,Chilblain lupus,UMLS_CUI:C0024145
DOID:0060387,chondrodysplasia Blomstrand type,UMLS_CUI:C1859148
DOID:0060393,chromosome 15q11.2 deletion syndrome,UMLS_CUI:C3180937
DOID:0060406,chromosome 18p deletion syndrome,UMLS_CUI:C0432442
DOID:0060408,chromosome 19q13.11 deletion syndrome,UMLS_CUI:C2751651
DOID:0060410,chromosome 1p36 deletion syndrome,UMLS_CUI:C1842870
DOID:0060418,chromosome 3q13.31 deletion syndrome,UMLS_CUI:C2931338
DOID:0060439,lysinuric protein intolerance,UMLS_CUI:C0268647
DOID:0060444,granular corneal dystrophy 2,UMLS_CUI:C1275685
DOID:0060448,Fleck corneal dystrophy,UMLS_CUI:C1562113
DOID:0060449,gelatinous drop-like corneal dystrophy,UMLS_CUI:C0339273
DOID:0060451,Meesmann corneal dystrophy,UMLS_CUI:C0339277
DOID:0060453,Reis-Bucklers corneal dystrophy,UMLS_CUI:C0339278
DOID:0060455,Thiel-Behnke corneal dystrophy,UMLS_CUI:C1562894
DOID:0060456,Schnyder corneal dystrophy,UMLS_CUI:C0271287
DOID:0060462,Desbuquois dysplasia,UMLS_CUI:C0432242
DOID:0060463,NUT midline carcinoma,UMLS_CUI:C1707291
DOID:0060465,fibrochondrogenesis,UMLS_CUI:C0265282
DOID:0060466,gingival fibromatosis,UMLS_CUI:C0399440
DOID:0060468,Holt-Oram syndrome,UMLS_CUI:C0265264
DOID:0060469,Miller-Dieker lissencephaly syndrome,UMLS_CUI:C0265219
DOID:0060471,fetal valproate syndrome,UMLS_CUI:C0236026
DOID:0060473,Kabuki syndrome,UMLS_CUI:C0796004
DOID:0060481,Goldberg-Shprintzen syndrome,UMLS_CUI:C1836123
DOID:0060484,EAST syndrome,UMLS_CUI:C2748572
DOID:0060485,Mowat-Wilson syndrome,UMLS_CUI:C1856113
DOID:0060488,Pitt-Hopkins syndrome,UMLS_CUI:C1970431
DOID:0060490,Schimke immuno-osseous dysplasia,UMLS_CUI:C0877024
DOID:0060536,mitochondrial complex I deficiency,UMLS_CUI:C1838979
DOID:0060548,luminal breast carcinoma A,UMLS_CUI:C3642345
DOID:0060549,Barber-Say syndrome,UMLS_CUI:C1319466
DOID:0060550,ablepharon macrostomia syndrome,UMLS_CUI:C1860224
DOID:0060556,Kufor-Rakeb syndrome,UMLS_CUI:C1847640
DOID:0060559,lethal congenital contracture syndrome 1,UMLS_CUI:C1854664
DOID:0060565,Ritscher-Schinzel syndrome,UMLS_CUI:C0796137
DOID:0060566,Holzgreve-Wagner-Rehder Syndrome,UMLS_CUI:C1856095
DOID:0060567,erythema elevatum diutinum,UMLS_CUI:C0263398
DOID:0060573,von Willebrand's disease 1,UMLS_CUI:C1264039
DOID:0060574,von Willebrand's disease 2,UMLS_CUI:C1264040
DOID:0060589,Yunis-Varon syndrome,UMLS_CUI:C1857663
DOID:0060591,WHIM syndrome,UMLS_CUI:C0472817
DOID:0060597,"atypical chronic myeloid leukemia, BCR-ABL1 negative",UMLS_CUI:C1292772
DOID:0060599,Nance-Horan syndrome,UMLS_CUI:C0796085
DOID:0060610,megacystis-microcolon-intestinal hypoperistalsis syndrome,UMLS_CUI:C1608393
DOID:0060614,ulnar-mammary syndrome,UMLS_CUI:C1866994
DOID:0060640,ethylmalonic encephalopathy,UMLS_CUI:C1865349
DOID:0060643,primary sclerosing cholangitis,UMLS_CUI:C0566602
DOID:0060644,chondrodysplasia-pseudohermaphroditism syndrome,UMLS_CUI:C1838654
DOID:0060650,dicarboxylic aminoaciduria,UMLS_CUI:C1857253
DOID:0060655,autosomal recessive congenital ichthyosis,UMLS_CUI:C0079154
DOID:0060688,arteriovenous malformations of the brain,UMLS_CUI:C0007772
DOID:0060703,Muenke Syndrome,UMLS_CUI:C1864436
DOID:0060744,Pendred Syndrome,UMLS_CUI:C0271829
DOID:0060762,restrictive dermopathy,UMLS_CUI:C0406585
DOID:0060782,EEC syndrome,UMLS_CUI:C0406704
DOID:0060783,"ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 3",UMLS_CUI:C0406704
DOID:0060784,"ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 1",UMLS_CUI:C0406704
DOID:0060785,adult-onset autosomal dominant demyelinating leukodystrophy,UMLS_CUI:C3164344
DOID:0060799,syndromic X-linked intellectual disability Lubs type,UMLS_CUI:C1846058
DOID:0060800,syndromic X-linked intellectual disability 5,UMLS_CUI:C0796254
DOID:0060801,MEHMO syndrome,UMLS_CUI:C1846278
DOID:0060808,syndromic X-linked intellectual disability 7,UMLS_CUI:C1846170
DOID:0060812,syndromic X-linked intellectual disability Siderius type,UMLS_CUI:C1846055
DOID:0060815,Miles-Carpenter syndrome,UMLS_CUI:C1839735
DOID:0060818,syndromic X-linked intellectual disability Abidi type,UMLS_CUI:C1846056
DOID:0060821,syndromic X-linked intellectual disability 14,UMLS_CUI:C0796022
DOID:0060825,Christianson syndrome,UMLS_CUI:C1846130
DOID:0060832,Griscelli syndrome type 1,UMLS_CUI:C1859194
DOID:0060833,Griscelli syndrome type 2,UMLS_CUI:C1868679
DOID:0060834,Griscelli syndrome type 3,UMLS_CUI:C1836573
DOID:0060843,hereditary neuropathy with liability to pressure palsies,UMLS_CUI:C0393814
DOID:0060844,Norrie disease,UMLS_CUI:C0266526
DOID:0060847,Leri-Weill dyschondrosteosis,UMLS_CUI:C0265309
DOID:0060849,osteoporosis-pseudoglioma syndrome,UMLS_CUI:C0432252
DOID:0060850,annular pancreas,UMLS_CUI:C0149955
DOID:0060851,pemphigus vulgaris,UMLS_CUI:C0030809
DOID:0060852,Pierson syndrome,UMLS_CUI:C1836876
DOID:0060853,Potocki-Lupski syndrome,UMLS_CUI:C2931246
