id	name	ICD-10-CM	MeSH	OMIM	SNOMED CT	GTR
3-beta-hydroxysteroid-dehydrogenase-deficiency	3-beta-hydroxysteroid dehydrogenase deficiency	E25.0	D000312	201810	124136000,54470008	C0342471
3-hydroxy-3-methylglutaryl-coa-lyase-deficiency	3-hydroxy-3-methylglutaryl-CoA lyase deficiency		D000592	246450	124611007,410059004	C0268601
3-hydroxyacyl-coa-dehydrogenase-deficiency	3-hydroxyacyl-CoA dehydrogenase deficiency		D008052	231530	124122005	C1291230
3mc-syndrome	3MC syndrome		D019465	257920,265050,248340	720756005	C0796279,C0796059,C0796032
3-methylcrotonyl-coa-carboxylase-deficiency	3-methylcrotonyl-CoA carboxylase deficiency		D008661	210200,210210	13144005	C1859499,C0268600
3-methylglutaconyl-coa-hydratase-deficiency	3-methylglutaconyl-CoA hydratase deficiency	E71.111	D000592	250950	237951008	C0342727
3-m-syndrome	3-M syndrome		D004392	614205,612921,273750	702342007	C1848862
3p-deletion-syndrome	3p deletion syndrome		D002872	613792	449819002	C0795806
3q29-microdeletion-syndrome	3q29 microdeletion syndrome		D008607,D002872	609425	716456000	C2674949
3q29-microduplication-syndrome	3q29 microduplication syndrome		D058674,D008607	611936	717973004	C2749873
46xx-testicular-difference-of-sex-development	46,XX testicular difference of sex development		D058531	400045	74398009	C2936419
47xyy-syndrome	47,XYY syndrome	Q98.5	D014997		50749006	C3266843
48xxxy-syndrome	48,XXXY syndrome	Q98.1	D007713		78317008,275263003	
48xxyy-syndrome	48,XXYY syndrome		D007713		403760006	C0036868
49xxxxy-syndrome	49,XXXXY syndrome	Q98.1	D007713		38847009,275264009	
5-alpha-reductase-deficiency	5-alpha reductase deficiency		D058490	264600	57514000,738771004	C0268297
5q313-microdeletion-syndrome	5q31.3 microdeletion syndrome		D065886			C4015357
5q-minus-syndrome	5q minus syndrome	D46.C	D009190	153550	277597005	C0740302
6q24-related-transient-neonatal-diabetes-mellitus	6q24-related transient neonatal diabetes mellitus		D003920	601410	609579009	C1832386
7q1123-duplication-syndrome	7q11.23 duplication syndrome		D058674	609757	726707004	C1857844
8p11-myeloproliferative-syndrome	8p11 myeloproliferative syndrome		D009196	613523	450942006	C3150773
9q223-microdeletion	9q22.3 microdeletion		D025063	109400	711489004	C0004779,C3711390
aarskog-scott-syndrome	Aarskog-Scott syndrome		D040181	305400	14921002	C0175701
abetalipoproteinemia	Abetalipoproteinemia	E78.6	D000012	200100	190787008	C0000744
acad9-deficiency	ACAD9 deficiency		D028361	611126	725046003	C4747517
acatalasemia	Acatalasemia	E80.3	D020642	614097	267454002	C0268419
aceruloplasminemia	Aceruloplasminemia		D019189	604290	124224004	C0878682
achondrogenesis	Achondrogenesis	Q77.0	D010009	200600,200610,600972	2391001,254061001,14870002	C0265273,C0220685,C0265274
achondroplasia	Achondroplasia	Q77.4	D000130	100800	86268005	C0001080
achromatopsia	Achromatopsia	H53.51	D003117	610024,613093,262300,613856,216900	56852002	C2751309,C0152200,C1841721,C1857618,C1849792,C3552227
acrocallosal-syndrome	Acrocallosal syndrome		D055673	200990	715951007	C0796147
acromicric-dysplasia	Acromicric dysplasia		D010009	102370	254090007	C0265287
actin-accumulation-myopathy	Actin-accumulation myopathy		D017696	161800	702349003	C3711389
action-myoclonus-renal-failure-syndrome	Action myoclonus–renal failure syndrome		D020191	254900		C0751779
activated-pi3k-delta-syndrome	Activated PI3K-delta syndrome		D007153	615513,616005	711480000	C4014934,C3714976
acute-necrotizing-encephalopathy-type-1	Acute necrotizing encephalopathy type 1	G04.31	D001930	608033	111897007	
acute-promyelocytic-leukemia	Acute promyelocytic leukemia	C92.42,C92.41,C92.4,C92.40	D015473	612376	28950004,110004001	C0023487
adams-oliver-syndrome	Adams-Oliver syndrome		D004476	615297,616589,614219,616028,614814,100300	34748004	C3553748,C0265268,C3280182,C4551482,C4014970,C4225271,C3809092
adcy5-related-dyskinesia	ADCY5-related dyskinesia		D020820	606703	9748009	C5551343
adenine-phosphoribosyltransferase-deficiency	Adenine phosphoribosyltransferase deficiency		D011686	614723	124274002,238010006,65791008,238009001	C0268120
adenosine-deaminase-2-deficiency	Adenosine deaminase 2 deficiency	M30.0	D056647	182410,615688	155441006	C3887654,C0282492
adenosine-deaminase-deficiency	Adenosine deaminase deficiency	D81.3	D016511	102700	44940001	C1863236
adenosine-monophosphate-deaminase-deficiency	Adenosine monophosphate deaminase deficiency	E79.2	D011686	615511	124525004,9105005	C3714933
adenylosuccinate-lyase-deficiency	Adenylosuccinate lyase deficiency		D011686	103050	15285008	C0268126
adermatoglyphia	Adermatoglyphia		D003878	136000,129200	83145004	
adnp-syndrome	ADNP syndrome		D065886	615873		C4014538
adult-onset-leukoencephalopathy-with-axonal-spheroids-and-pigmented-glia	Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia		D056784	221820	702427005	C3711381
adult-polyglucosan-body-disease	Adult polyglucosan body disease		D006008,D002493	263570	721099001	C1849722
african-iron-overload	African iron overload		D012806	601195	66576001	
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009	
age-related-macular-degeneration	Age-related macular degeneration	H35.31,H35.30,H35.32	D008268	610698,615439,613761,613757,611488,611378,613778,608895,615591,603075,611953,613784,615489,610149,153800	267718000	C1857813,C1969651,C3495438,C2677774,C3151060,C3151079,C3151070,C3809523,C3809653,C3151063,C0242383,C3810042,C1969108,C1864205,C1853147
aicardi-goutieres-syndrome	Aicardi-Goutières syndrome		D020279	615846,615010,610333,225750,612952,610181,610329	230312006	C1835916,C3489724,C3888244,C0393591,C2749659,C0796126,C3539013,C1835912
alagille-syndrome	Alagille syndrome		D016738	610205,118450	31742004	C1857761,C1956125
alcohol-use-disorder	Alcohol use disorder	F10.23,F10.21,F10.2,F10.26,F10.288,F10.259,F10.280,F10.25,F10.251,F10.232,F10.230,F10.250,F10.220,F10.282,F10.22,F10.239,F10.229,F10.94,F10.20,F10.281,F10.27,F10.221,F10.28,F10.24,F10.29,F10.231	D000437	103780	7200002	C0001973
aldosterone-producing-adenoma	Aldosterone-producing adenoma		D000236			C1706762
alexander-disease	Alexander disease		D038261	203450	81854007	C0270726
alg12-congenital-disorder-of-glycosylation	ALG12-congenital disorder of glycosylation		D018981	607143	711155008	C2931001
alg1-congenital-disorder-of-glycosylation	ALG1-congenital disorder of glycosylation		D018981	608540	720941007	C2931005
alg6-congenital-disorder-of-glycosylation	ALG6-congenital disorder of glycosylation		D018981	603147	709412006	C2930997
alkaptonuria	Alkaptonuria	E70.29	D000474	203500	360381004	C0002066
allan-herndon-dudley-syndrome	Allan-Herndon-Dudley syndrome		D009123,D038901	300523	702327009	C0795889
alopecia-areata	Alopecia areata	L63.8,L63.9,L63.1,L63.2,L63.0	D000506	104000,610753	68225006,19754005	C0263505
alpers-huttenlocher-syndrome	Alpers-Huttenlocher syndrome	G31.81	D002549	203700	20415001	C0205710
alpha-1-antitrypsin-deficiency	Alpha-1 antitrypsin deficiency	E88.01	D019896	613490	30188007	C0221757
alpha-mannosidosis	Alpha-mannosidosis		D008363	248500	124466001	C0024748
alpha-methylacyl-coa-racemase-deficiency	Alpha-methylacyl-CoA racemase deficiency		D018901	614307	700463002	C3280428
alpha-thalassemia	Alpha thalassemia	D56.0,D56.3	D017085	141800,141850,604131	68913001	C0002312
alpha-thalassemia-x-linked-intellectual-disability-syndrome	Alpha thalassemia X-linked intellectual disability syndrome	D56.0	D038901	301040	715342005	C1845055
alport-syndrome	Alport syndrome	Q87.81	D009394	203780,301050,104200	717768004,717767009,717766000	C4746986,C4746547,C1567741,C4746745
alstrom-syndrome	Alström syndrome		D056769	203800	63702009	C0268425
alternating-hemiplegia-of-childhood	Alternating hemiplegia of childhood		D006429	614820,104290	230466004	C3553788,C3549447
alveolar-capillary-dysplasia-with-misalignment-of-pulmonary-veins	Alveolar capillary dysplasia with misalignment of pulmonary veins		D010547	265380	206597007	C0031190
alzheimers-disease	Alzheimer's disease	G30.1,G30.9,G30.8,G30,G30.0	D000544	606889,104310,104300,607822	65096006,416780008,416975007,10532003,26929004	C1863051,C1847200,C0002395,C1843013
amelogenesis-imperfecta	Amelogenesis imperfecta		D000567	612529,104500,130900,301200,204650	78494001,234961008	C1845053,C0399376,C2673923,C0399368
aminoacylase-1-deficiency	Aminoacylase 1 deficiency		D008661	609924	709282004	C1835922
amish-lethal-microcephaly	Amish lethal microcephaly		D008831	607196	702437000	C1846648
amyotrophic-lateral-sclerosis	Amyotrophic lateral sclerosis	G12.21	D000690	606640,612069,614373,105400,105500,205100,600795,608627,613435,615911,602433,612577,616437,602099,608031,615515,613954,616439,616208,615426,614808,611895,300857,608030,105550	86044005,230258005	C0002736
anauxetic-dysplasia	Anauxetic dysplasia		D004392	607095,617396		
andermann-syndrome	Andermann syndrome		D015417,D006211	218000	702439002	C0795950
andersen-tawil-syndrome	Andersen-Tawil syndrome		D050030	170390	422348008	C1563715
androgenetic-alopecia	Androgenetic alopecia	L64,L64.9,L64.8	D000505	109200,612421,300710	201144006,87872006,1108009	
androgen-insensitivity-syndrome	Androgen insensitivity syndrome	E34.5,E34.50,E34.52,E34.51	D013734	300068	12313004,52832001,58672003	C0268301,C0039585
anencephaly	Anencephaly	Q00.0	D000757	601634,182940,206500	85641006,277922001,89369001	C0027794,C0002902,C1866558
angelman-syndrome	Angelman syndrome		D017204	105830	76880004	C0162635
anhidrotic-ectodermal-dysplasia-with-immune-deficiency	Anhidrotic ectodermal dysplasia with immune deficiency	Q82.4	D053358	300291	703525006	C1846006
aniridia	Aniridia	Q13.1	D015783	106210	15987031000119108,15986991000119108,69278003,253231007,15986951000119103,253232000	C0003076,C0344542
ankyloblepharon-ectodermal-defects-cleft-lip-palate-syndrome	Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome		D004476	129400,106260	55821006	C0406709,C1785148
ankylosing-spondylitis	Ankylosing spondylitis	M45,M45.6,M45.9,M45.2,M45.7,M45.5,M45.1,M45.3,M45.4,M45.8,M08.1,M45.0	D013167	613238,183840,106300	9631008,838436001	C1862852
ankyrin-b-syndrome	Ankyrin-B syndrome		D001145	600919		C1970119
anonychia-congenita	Anonychia congenita	Q84.3	D009264	206800	23610003	C0265998
apert-syndrome	Apert syndrome		D000168	101200	205258009	C0001193
arginase-deficiency	Arginase deficiency	E72.21	D020162	207800	23501004	C0268548
arginineglycine-amidinotransferase-deficiency	Arginine:glycine amidinotransferase deficiency		D020739	612718	702440000	C2675179
argininosuccinic-aciduria	Argininosuccinic aciduria	E72.22	D056807	207900	41013004	C0268547
aromatase-deficiency	Aromatase deficiency		D017588	613546	427627006,425708006	C1960539
aromatase-excess-syndrome	Aromatase excess syndrome		D012734	139300	709075008	C1970109
aromatic-l-amino-acid-decarboxylase-deficiency	Aromatic l-amino acid decarboxylase deficiency		D000592	608643	124600004	C1291564
arrhythmogenic-right-ventricular-cardiomyopathy	Arrhythmogenic right ventricular cardiomyopathy		D019571	107970,602087,604772,610476,610193,615616,609040,604400,602086,611528,607450,604401	253528005,281170005	C1832931,C1969081,C1858378,C1864850,C1865882,C3810138,C1865881,CN128708,C1836906,C1836704,C1857777,C1858379,C1862511,C0349788,C1843896
arterial-tortuosity-syndrome	Arterial tortuosity syndrome	Q87.82	D054079	208050	458432002	C1859726
arts-syndrome	Arts syndrome		D009422	301835	702441001	C0796028
asparagine-synthetase-deficiency	Asparagine synthetase deficiency		D000592	615574		C3809971
aspartylglucosaminuria	Aspartylglucosaminuria	E77.1	D054880	208400	54954004	C0268225
asphyxiating-thoracic-dystrophy	Asphyxiating thoracic dystrophy	Q77.2	D010009	613819,263520,611263,208500,613091,615503,614091,615633,266920,615630,614376	75049004	C1970005,C4551856,C0265275,C3280598,C3151185
ataxia-neuropathy-spectrum	Ataxia neuropathy spectrum		D028361	607459	193165008	C1843851
ataxia-pancytopenia-syndrome	Ataxia-pancytopenia syndrome		D010198,D001259	252270,159550		C1327919
ataxia-telangiectasia	Ataxia-telangiectasia		D001260	208900	68504005	C0004135
ataxia-with-oculomotor-apraxia	Ataxia with oculomotor apraxia		D002524	208920,606002,615217,616267	725408001,715366004	C1853761,C3554690,C4225397,C1859598
ataxia-with-vitamin-e-deficiency	Ataxia with vitamin E deficiency		D014811	277460	702442008	C1848533
atelosteogenesis-type-1	Atelosteogenesis type 1		D010009	108720	725141006	C0265283
atelosteogenesis-type-2	Atelosteogenesis type 2		D010009	256050	254055004	C1850554
atelosteogenesis-type-3	Atelosteogenesis type 3		D010009	108721	725142004	C3668942
atopic-dermatitis	Atopic dermatitis	L20.89,L20.83,L20.9,L20.82,L20.84	D003876	617638,603165,605803	24079001,402194008,402189008	C1853965
atypical-hemolytic-uremic-syndrome	Atypical hemolytic-uremic syndrome	D59.3	D006463	612922,612925,235400,612926,612923,612924	373422007	C2931788,C2752038,C2749604,C2752040,C2752037,C2752039,C2752036
au-kline-syndrome	Au-Kline syndrome		D002658,D008607	616580		C4225274
auriculo-condylar-syndrome	Auriculo-condylar syndrome		D004427	602483,614669	702443003	C3553404,C4551996
autism-spectrum-disorder	Autism spectrum disorder	F84.0	D000067877	209850	408856003	C1510586
autoimmune-addison-disease	Autoimmune Addison disease	E27.2,E27.1	D000224		363732003	
autoimmune-lymphoproliferative-syndrome	Autoimmune lymphoproliferative syndrome	D89.82	D056735	601859	702444009	C1328840
autoimmune-polyendocrinopathy-candidiasis-ectodermal-dystrophy	Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy	E31.0	D016884	240300	11244009	C2749602,C0085859
autosomal-dominant-cerebellar-ataxia-deafness-and-narcolepsy	Autosomal dominant cerebellar ataxia, deafness, and narcolepsy		D002524	604121	722293005	C3807295
autosomal-dominant-congenital-stationary-night-blindness	Autosomal dominant congenital stationary night blindness	H53.63	D009755	163500,610444,610445	232061009	C0339535
autosomal-dominant-hyper-ige-syndrome	Autosomal dominant hyper-IgE syndrome	D82.4	D007589	147060	50926003	C4721531
autosomal-dominant-hypocalcemia	Autosomal dominant hypocalcemia		D006996	601198,615361	711152006	C4048195
autosomal-dominant-leukodystrophy-with-autonomic-disease	Autosomal dominant leukodystrophy with autonomic disease		D020279	169500	448054001	C1868512
autosomal-dominant-nocturnal-frontal-lobe-epilepsy	Autosomal dominant nocturnal frontal lobe epilepsy		D017034	610353,600513,605375,603204	698021005,230445007	C1838049,C1864125,C1854335,C1835905
autosomal-dominant-optic-atrophy-and-cataract	Autosomal dominant optic atrophy and cataract	H47.22	D015418	165300	719517009	C1833809
autosomal-dominant-partial-epilepsy-with-auditory-features	Autosomal dominant partial epilepsy with auditory features		D004828	600512	72103000	C4551957
autosomal-dominant-vitreoretinochoroidopathy	Autosomal dominant vitreoretinochoroidopathy		D058499,D015785	193220	711162004	C3888099
autosomal-recessive-axonal-neuropathy-with-neuromyotonia	Autosomal recessive axonal neuropathy with neuromyotonia		D010523	137200	711406009	C5700127
autosomal-recessive-cerebellar-ataxia-type-1	Autosomal recessive cerebellar ataxia type 1		D002524	610743	230233000	C1853116
autosomal-recessive-congenital-methemoglobinemia	Autosomal recessive congenital methemoglobinemia	D74.0	D008708	250800	234395000	C2749559,C2749560
autosomal-recessive-congenital-stationary-night-blindness	Autosomal recessive congenital stationary night blindness	H53.63	D009755	613216,613830,615058,257270,614565,610427	232061009	C3281215,C1850362,C2750747,C3151193,C4041558,C3554399
autosomal-recessive-hypotrichosis	Autosomal recessive hypotrichosis		D007039	278150,604379,607903	723362004,56558005	C1848435,C1842839,C1836672
autosomal-recessive-primary-microcephaly	Autosomal recessive primary microcephaly	Q02	D008831	608393,251200,608716,604317,604321,604804,612703	715981004	C1858516,C1837501,C2675187,C1842109,C1858108,C1858535,C1855081
autosomal-recessive-spastic-ataxia-of-charlevoix-saguenay	Autosomal recessive spastic ataxia of Charlevoix-Saguenay		D001259	270550	702445005	C1849140
axenfeld-rieger-syndrome	Axenfeld-Rieger syndrome	Q13.81	D005124	602482,180500,601499	417604002,204152008	C3714873,C2678503,C0265341,C1832229
baller-gerold-syndrome	Baller-Gerold syndrome		D019465	218600	77608001	C0265308
bannayan-riley-ruvalcaba-syndrome	Bannayan-Riley-Ruvalcaba syndrome	E71.440	D006223	158350	234138005,3073006	C0265326
bap1-tumor-predisposition-syndrome	BAP1 tumor predisposition syndrome		D009386	614327		C3280492
baraitser-winter-syndrome	Baraitser-Winter syndrome		D054221	614583,243310	702410002	C3281235,C1855722
bardet-biedl-syndrome	Bardet-Biedl syndrome		D020788	209900	232059000,5619004	C0752166
bare-lymphocyte-syndrome-type-i	Bare lymphocyte syndrome type I	D81.6	D007153	604571	725136003	C1858266
bare-lymphocyte-syndrome-type-ii	Bare lymphocyte syndrome type II	D81.7	D007153	209920	71904008	C1859534,C1859536
barth-syndrome	Barth syndrome	E78.71	D056889	302060	297231002	C0574083
bart-pumphrey-syndrome	Bart-Pumphrey syndrome		D007645	149200	1271009	C0266004
bartter-syndrome	Bartter syndrome	E26.81	D001477	602522,607364,601678,241200,613090	69194003,707742001	C0004775,CN239220,C1865270,C1846343,C4310805
beare-stevenson-cutis-gyrata-syndrome	Beare-Stevenson cutis gyrata syndrome		D012873,D003398	123790	703528008	C1852406
beckwith-wiedemann-syndrome	Beckwith-Wiedemann syndrome		D001506	130650	81780002	C0004903
behcet-disease	Behçet disease	M35.2	D001528	109650	310701003	C0004943
benign-essential-blepharospasm	Benign essential blepharospasm	G24.5	D001764	606798	59026006	
benign-familial-neonatal-seizures	Benign familial neonatal seizures		D020936	121200,121201	230410004	C3149074,C1852581
benign-recurrent-intrahepatic-cholestasis	Benign recurrent intrahepatic cholestasis		D002780	243300,605479	31155007,838305005	C2608083
bernard-soulier-syndrome	Bernard-Soulier syndrome		D001606	231200,153670	54569005	C0005129
beta-ketothiolase-deficiency	Beta-ketothiolase deficiency		D018901	203750	124258007,124265004,237953006	C1536500
beta-mannosidosis	Beta-mannosidosis		D044905	248510	238047006	C4048196
beta-propeller-protein-associated-neurodegeneration	Beta-propeller protein-associated neurodegeneration		D020271	300894	732959007	C3550973
beta-thalassemia	Beta thalassemia	D56.1	D017086	613985,603902	39586009,15326009,65959000,47084006,79592006,61395005,86715000,27080008,26682008,111572002,716682000,191189009,5967006	C0005283,C1858990
beta-ureidopropionase-deficiency	Beta-ureidopropionase deficiency		D011686	613161	124511000	C1291512
bietti-crystalline-dystrophy	Bietti crystalline dystrophy		D012162	210370	312927001	C1859486
biotinidase-deficiency	Biotinidase deficiency	D81.810	D028921	253260	8808004	C0220754
biotin-thiamine-responsive-basal-ganglia-disease	Biotin-thiamine-responsive basal ganglia disease		D001480	607483	703522009	C1843807
birt-hogg-dube-syndrome	Birt-Hogg-Dubé syndrome		D058249	135150	110985001	C0346010
bjornstad-syndrome	Björnstad syndrome		D028361	262000	67817003	C0266006
bladder-cancer	Bladder cancer	C67.1,C67.3,C67.5,C67.6,D09.0,C67.2,C67,C67.7,C67.4,C67.8,C67.9,C67.0	D001749	109800	399326009,255108000,126885006	C0699885
blau-syndrome	Blau syndrome		D012507	186580	699861000	
blepharocheilodontic-syndrome	Blepharocheilodontic syndrome		D000015	617681,119580	717911008	C4540127,C4551988
blepharophimosis-ptosis-and-epicanthus-inversus-syndrome	Blepharophimosis, ptosis, and epicanthus inversus syndrome		D005141	110100	79833006	C0220663
bloom-syndrome	Bloom syndrome		D001816	210900	4434006	C0005859
bohring-opitz-syndrome	Bohring-Opitz syndrome		D008607,D003398	605039	720565000	C0796232
boomerang-dysplasia	Boomerang dysplasia		D010009	112310	254054000	C0432201
bosma-arhinia-microphthalmia-syndrome	Bosma arhinia microphthalmia syndrome		D000015	603457	720511000	C1863878
boucher-neuhauser-syndrome	Boucher-Neuhäuser syndrome		D052439	215470	715984007	C1859093
bowen-conradi-syndrome	Bowen-Conradi syndrome		D000015	211180	711153001	C1859405
bradyopsia	Bradyopsia		D015785	608415	711163009	C1842073
brain-lung-thyroid-syndrome	Brain-lung-thyroid syndrome		D003409,D012127,D002819	610978	719098007	C1970269,C0393584
branchio-oculo-facial-syndrome	Branchio-oculo-facial syndrome		D019465	113620	449821007	C0376524
branchiootorenal-branchiootic-syndrome	Branchiootorenal/branchiootic syndrome		D019280	113650,608389,610896,120502,602588	290006	C1842124,C1970479,C4551702,C1865143
breast-cancer	Breast cancer	C50.011,C50.01,C50.512,Z15.01,C50.112,C50.329,C50.021,C50.92,C50.622,D05.10,C50.02,C50.012,C50.919,D05.12,Z80.3,C50.322,C50.321,C50.82,C50.81,C50.91,C50.822,C50.42,C50.621,C50.419,D05.1,C50.41,C50.912,C50.222,C50.619,C50.119,C50.022,D05.00,D05.0,C50.911,C50.52,C50.529,C50.522,C50.51,C50.31,C50.312,C50.229,D05.11,C50.421,C50.812,C50.811,C50.921,C50.32,C50.411,C50.929,C50.829,C50.311,C50.212,C50.221,C50.211,C50.21,C50.611,C50.629,D05.90,C50.111,C50.22,C50.821,C50.519,C50.319,C50.11,D05.9,C50.612,C50.412,C50.922,D05.02,C50.422,D05.91,C50.029,D05.92,C50.521,C50.61,C50.019,C50.62,C50.429,C50.819,C50.511,C50.219,D05.01	D001943	612555,604370,114480	254838004,254837009,865954003,254843006,126926005	C1861906,C0006142,C3469522
brody-myopathy	Brody myopathy		D009135	601003	703530005	C1832918
brugada-syndrome	Brugada syndrome		D053840	601144	418818005	C4551804,C1142166
burn-mckeown-syndrome	Burn-McKeown syndrome		D000015	608572	720640005	C1837822
buschke-ollendorff-syndrome	Buschke-Ollendorff syndrome		D010023	166700	9147009,60399005	C0265514
c3-glomerulopathy	C3 glomerulopathy	N06.6,N00.6,N02.6,N05.6,N07.6,N04.6,N01.6,N03.6	D015432	609814,614809	59479006,197599000	C3553720,C4055342,CN120381,C0268743,C0398777
caffey-disease	Caffey disease		D006958	114000	24752008	C0020497
campomelic-dysplasia	Campomelic dysplasia		D055036	114290	74928006	C1861922
camurati-engelmann-disease	Camurati-Engelmann disease	Q78.3	D003966	606631,131300	34643004	C0011989
canavan-disease	Canavan disease	E75.29	D017825	271900	80544005	C0751663,C4017127,C0206307
cantu-syndrome	Cantú syndrome		D010009	239850	239087008	C0795905
capillary-malformation-arteriovenous-malformation-syndrome	Capillary malformation-arteriovenous malformation syndrome		D054079	608354	703533007	C4747394
cap-myopathy	Cap myopathy		D020914	609285,609284	703532002	
carbamoyl-phosphate-synthetase-i-deficiency	Carbamoyl phosphate synthetase I deficiency	E72.29	D020165	237300	62522004	C4082171
carbonic-anhydrase-va-deficiency	Carbonic anhydrase VA deficiency		D022124,D020739	615751		C3810404
cardiofaciocutaneous-syndrome	Cardiofaciocutaneous syndrome		D006330,D004476	115150	403770008	C1275081
carney-complex	Carney complex		D056733	160980	733491005	C2607929,C1854540,C0406810
carnitine-acylcarnitine-translocase-deficiency	Carnitine-acylcarnitine translocase deficiency		D008052	212138	238003000	C0342791
carnitine-palmitoyltransferase-i-deficiency	Carnitine palmitoyltransferase I deficiency		D008052	255120	238001003	C1829703
carnitine-palmitoyltransferase-ii-deficiency	Carnitine palmitoyltransferase II deficiency	E71.314	D008052	600649,608836,255110	238002005	C1833511,C0342790,C1833508
carpal-tunnel-syndrome	Carpal tunnel syndrome	G56.00	D002349	115430,613353	57406009	C0007286
carpenter-syndrome	Carpenter syndrome		D000168	201000,614976	403767009	C3554247,C1275078
cartilage-hair-hypoplasia	Cartilage-hair hypoplasia		D004392	250250	7720002	C0220748
cask-related-intellectual-disability	CASK-related intellectual disability		D008607	300749,300422	703389002	C2677903
catecholaminergic-polymorphic-ventricular-tachycardia	Catecholaminergic polymorphic ventricular tachycardia	I47.2	D017180	611938,604772	419671004	C2677794,C1631597
catsper1-related-nonsyndromic-male-infertility	CATSPER1-related nonsyndromic male infertility		D007248	612997	236792002	C2751811
cav3-related-distal-myopathy	CAV3-related distal myopathy		D049310	614321	711265009	C3280443
cdkl5-deficiency-disorder	CDKL5 deficiency disorder		D013036	300672	718393002	C4750718
celiac-disease	Celiac disease	K90.0	D002446	212750	396331005	C0007570
central-core-disease	Central core disease		D020512	117000	43152001	
central-precocious-puberty	Central precocious puberty	E30.1	D011629	615346,176400	237816004	C3809199,C3805879
centronuclear-myopathy	Centronuclear myopathy	G71.2	D020914	614807,255200,615959,160150	716696006,240081004	C0175709,C4014814,C4707232
cerebral-autosomal-dominant-arteriopathy-with-subcortical-infarcts-and-leukoencephalopathy	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy		D046589	125310	390936003	C4551768
cerebral-autosomal-recessive-arteriopathy-with-subcortical-infarcts-and-leukoencephalopathy	Cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy		D002539	600142	703219008	C1838577
cerebral-cavernous-malformation	Cerebral cavernous malformation		D020786	116860	444869007	C2919945,C1864040,C1366911,C1864041
cerebral-folate-transport-deficiency	Cerebral folate transport deficiency		D019150	613068	711403001	C2751584
cerebro-facio-thoracic-dysplasia	Cerebro-facio-thoracic dysplasia		D008607,D019465	213980	720635002	C1859252
cerebrotendinous-xanthomatosis	Cerebrotendinous xanthomatosis	E75.5	D019294	213700	63246000	C0238052
chanarin-dorfman-syndrome	Chanarin-Dorfman syndrome		D008052	275630	19604005	C0268238
channelopathy-associated-congenital-insensitivity-to-pain	Channelopathy-associated congenital insensitivity to pain		D000699	243000	403605007	C1855739
