name	ghr-page	reviewed	published
Achondrogenesis	https://medlineplus.gov/genetics/condition/achondrogenesis	2015-03	2020-08-18
Achondroplasia	https://medlineplus.gov/genetics/condition/achondroplasia	2012-05	2023-05-29
Achromatopsia	https://medlineplus.gov/genetics/condition/achromatopsia	2015-01	2020-08-18
Acrocallosal syndrome	https://medlineplus.gov/genetics/condition/acrocallosal-syndrome	2017-01	2020-08-18
Acromicric dysplasia	https://medlineplus.gov/genetics/condition/acromicric-dysplasia	2014-12	2020-08-18
Actin-accumulation myopathy	https://medlineplus.gov/genetics/condition/actin-accumulation-myopathy	2020-08	2020-08-18
Action myoclonus–renal failure syndrome	https://medlineplus.gov/genetics/condition/action-myoclonus-renal-failure-syndrome	2016-06	2020-08-18
Activated PI3K-delta syndrome	https://medlineplus.gov/genetics/condition/activated-pi3k-delta-syndrome	2014-07	2023-08-16
Acute necrotizing encephalopathy type 1	https://medlineplus.gov/genetics/condition/acute-necrotizing-encephalopathy-type-1	2019-12	2020-08-18
Acute promyelocytic leukemia	https://medlineplus.gov/genetics/condition/acute-promyelocytic-leukemia	2020-01	2020-09-08
Adams-Oliver syndrome	https://medlineplus.gov/genetics/condition/adams-oliver-syndrome	2015-11	2020-08-18
Adenine phosphoribosyltransferase deficiency	https://medlineplus.gov/genetics/condition/adenine-phosphoribosyltransferase-deficiency	2012-10	2020-08-18
Adenosine deaminase 2 deficiency	https://medlineplus.gov/genetics/condition/adenosine-deaminase-2-deficiency	2018-08	2020-08-18
Adenosine deaminase deficiency	https://medlineplus.gov/genetics/condition/adenosine-deaminase-deficiency	2013-07	2020-08-18
Adenosine monophosphate deaminase deficiency	https://medlineplus.gov/genetics/condition/adenosine-monophosphate-deaminase-deficiency	2016-07	2020-08-18
Adenylosuccinate lyase deficiency	https://medlineplus.gov/genetics/condition/adenylosuccinate-lyase-deficiency	2014-12	2023-07-13
Adermatoglyphia	https://medlineplus.gov/genetics/condition/adermatoglyphia	2015-04	2020-08-18
Adiposis dolorosa	https://medlineplus.gov/genetics/condition/adiposis-dolorosa	2019-02	2022-05-16
Adolescent idiopathic scoliosis	https://medlineplus.gov/genetics/condition/adolescent-idiopathic-scoliosis	2013-09	2020-08-18
Adult polyglucosan body disease	https://medlineplus.gov/genetics/condition/adult-polyglucosan-body-disease	2019-09	2020-08-18
Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia	https://medlineplus.gov/genetics/condition/adult-onset-leukoencephalopathy-with-axonal-spheroids-and-pigmented-glia	2015-08	2020-08-18
African iron overload	https://medlineplus.gov/genetics/condition/african-iron-overload	2016-07	2020-08-18
Age-related hearing loss	https://medlineplus.gov/genetics/condition/age-related-hearing-loss	2017-10	2020-09-08
Age-related macular degeneration	https://medlineplus.gov/genetics/condition/age-related-macular-degeneration	2021-10	2023-08-17
Aicardi syndrome	https://medlineplus.gov/genetics/condition/aicardi-syndrome	2010-06	2020-08-18
Aicardi-Goutières syndrome	https://medlineplus.gov/genetics/condition/aicardi-goutieres-syndrome	2017-11	2020-08-18
Alagille syndrome	https://medlineplus.gov/genetics/condition/alagille-syndrome	2014-12	2021-04-07
Alcohol use disorder	https://medlineplus.gov/genetics/condition/alcohol-use-disorder	2018-01	2020-08-18
Aldosterone-producing adenoma	https://medlineplus.gov/genetics/condition/aldosterone-producing-adenoma	2017-08	2023-02-01
Alexander disease	https://medlineplus.gov/genetics/condition/alexander-disease	2015-10	2020-08-18
Alkaptonuria	https://medlineplus.gov/genetics/condition/alkaptonuria	2013-11	2020-08-18
Allan-Herndon-Dudley syndrome	https://medlineplus.gov/genetics/condition/allan-herndon-dudley-syndrome	2013-04	2020-08-18
Allergic asthma	https://medlineplus.gov/genetics/condition/allergic-asthma	2018-12	2020-08-18
Alopecia areata	https://medlineplus.gov/genetics/condition/alopecia-areata	2018-06	2023-07-12
Alpers-Huttenlocher syndrome	https://medlineplus.gov/genetics/condition/alpers-huttenlocher-syndrome	2011-06	2023-02-06
Alpha thalassemia	https://medlineplus.gov/genetics/condition/alpha-thalassemia	2017-06	2022-12-02
Alpha thalassemia X-linked intellectual disability syndrome	https://medlineplus.gov/genetics/condition/alpha-thalassemia-x-linked-intellectual-disability-syndrome	2009-08	2023-10-27
Alpha-1 antitrypsin deficiency	https://medlineplus.gov/genetics/condition/alpha-1-antitrypsin-deficiency	2021-09	2021-09-15
Alpha-mannosidosis	https://medlineplus.gov/genetics/condition/alpha-mannosidosis	2014-05	2020-08-18
Alpha-methylacyl-CoA racemase deficiency	https://medlineplus.gov/genetics/condition/alpha-methylacyl-coa-racemase-deficiency	2013-12	2020-08-18
Alport syndrome	https://medlineplus.gov/genetics/condition/alport-syndrome	2013-12	2023-09-05
Alström syndrome	https://medlineplus.gov/genetics/condition/alstrom-syndrome	2014-09	2020-08-18
Alternating hemiplegia of childhood	https://medlineplus.gov/genetics/condition/alternating-hemiplegia-of-childhood	2016-09	2020-08-18
Alveolar capillary dysplasia with misalignment of pulmonary veins	https://medlineplus.gov/genetics/condition/alveolar-capillary-dysplasia-with-misalignment-of-pulmonary-veins	2015-08	2020-09-08
Alzheimer's disease	https://medlineplus.gov/genetics/condition/alzheimers-disease	2019-05	2023-07-19
Amelogenesis imperfecta	https://medlineplus.gov/genetics/condition/amelogenesis-imperfecta	2015-05	2020-08-18
Aminoacylase 1 deficiency	https://medlineplus.gov/genetics/condition/aminoacylase-1-deficiency	2014-05	2020-08-18
Amish lethal microcephaly	https://medlineplus.gov/genetics/condition/amish-lethal-microcephaly	2013-07	2020-08-18
Amyotrophic lateral sclerosis	https://medlineplus.gov/genetics/condition/amyotrophic-lateral-sclerosis	2016-03	2023-08-18
Anauxetic dysplasia	https://medlineplus.gov/genetics/condition/anauxetic-dysplasia	2017-07	2020-08-18
Andermann syndrome	https://medlineplus.gov/genetics/condition/andermann-syndrome	2008-06	2022-09-06
Andersen-Tawil syndrome	https://medlineplus.gov/genetics/condition/andersen-tawil-syndrome	2018-04	2020-08-18
Androgen insensitivity syndrome	https://medlineplus.gov/genetics/condition/androgen-insensitivity-syndrome	2016-11	2023-08-18
Androgenetic alopecia	https://medlineplus.gov/genetics/condition/androgenetic-alopecia	2015-08	2023-07-27
Anencephaly	https://medlineplus.gov/genetics/condition/anencephaly	2019-10	2023-08-22
Angelman syndrome	https://medlineplus.gov/genetics/condition/angelman-syndrome	2022-05	2022-05-17
Anhidrotic ectodermal dysplasia with immune deficiency	https://medlineplus.gov/genetics/condition/anhidrotic-ectodermal-dysplasia-with-immune-deficiency	2017-03	2022-06-22
Aniridia	https://medlineplus.gov/genetics/condition/aniridia	2009-06	2020-08-18
Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome	https://medlineplus.gov/genetics/condition/ankyloblepharon-ectodermal-defects-cleft-lip-palate-syndrome	2011-06	2022-07-19
Ankylosing spondylitis	https://medlineplus.gov/genetics/condition/ankylosing-spondylitis	2022-03	2023-07-17
Ankyrin-B syndrome	https://medlineplus.gov/genetics/condition/ankyrin-b-syndrome	2017-03	2020-08-18
Anonychia congenita	https://medlineplus.gov/genetics/condition/anonychia-congenita	2017-05	2023-08-22
Antiphospholipid syndrome	https://medlineplus.gov/genetics/condition/antiphospholipid-syndrome	2022-03	2023-03-21
Apert syndrome	https://medlineplus.gov/genetics/condition/apert-syndrome	2019-08	2020-08-18
Arginase deficiency	https://medlineplus.gov/genetics/condition/arginase-deficiency	2013-08	2021-04-07
Arginine:glycine amidinotransferase deficiency	https://medlineplus.gov/genetics/condition/arginineglycine-amidinotransferase-deficiency	2015-12	2021-04-19
Argininosuccinic aciduria	https://medlineplus.gov/genetics/condition/argininosuccinic-aciduria	2020-03	2020-08-18
Aromatase deficiency	https://medlineplus.gov/genetics/condition/aromatase-deficiency	2014-04	2023-10-26
Aromatase excess syndrome	https://medlineplus.gov/genetics/condition/aromatase-excess-syndrome	2014-04	2020-08-18
Aromatic l-amino acid decarboxylase deficiency	https://medlineplus.gov/genetics/condition/aromatic-l-amino-acid-decarboxylase-deficiency	2008-05	2023-07-26
Arrhythmogenic right ventricular cardiomyopathy	https://medlineplus.gov/genetics/condition/arrhythmogenic-right-ventricular-cardiomyopathy	2018-02	2020-08-18
Arterial tortuosity syndrome	https://medlineplus.gov/genetics/condition/arterial-tortuosity-syndrome	2015-11	2020-08-18
Arts syndrome	https://medlineplus.gov/genetics/condition/arts-syndrome	2014-09	2020-08-18
Asparagine synthetase deficiency	https://medlineplus.gov/genetics/condition/asparagine-synthetase-deficiency	2018-11	2020-08-18
Aspartylglucosaminuria	https://medlineplus.gov/genetics/condition/aspartylglucosaminuria	2022-01	2022-01-19
Asphyxiating thoracic dystrophy	https://medlineplus.gov/genetics/condition/asphyxiating-thoracic-dystrophy	2015-05	2020-08-18
Ataxia neuropathy spectrum	https://medlineplus.gov/genetics/condition/ataxia-neuropathy-spectrum	2011-06	2020-08-18
Ataxia with oculomotor apraxia	https://medlineplus.gov/genetics/condition/ataxia-with-oculomotor-apraxia	2018-06	2020-08-18
Ataxia with vitamin E deficiency	https://medlineplus.gov/genetics/condition/ataxia-with-vitamin-e-deficiency	2015-12	2020-08-18
Ataxia-pancytopenia syndrome	https://medlineplus.gov/genetics/condition/ataxia-pancytopenia-syndrome	2017-09	2020-08-18
Ataxia-telangiectasia	https://medlineplus.gov/genetics/condition/ataxia-telangiectasia	2013-01	2022-09-19
Atelosteogenesis type 1	https://medlineplus.gov/genetics/condition/atelosteogenesis-type-1	2011-09	2020-08-18
Atelosteogenesis type 2	https://medlineplus.gov/genetics/condition/atelosteogenesis-type-2	2020-06	2020-08-18
Atelosteogenesis type 3	https://medlineplus.gov/genetics/condition/atelosteogenesis-type-3	2011-09	2020-08-18
Atopic dermatitis	https://medlineplus.gov/genetics/condition/atopic-dermatitis	2017-10	2020-08-18
Attention-deficit/hyperactivity disorder	https://medlineplus.gov/genetics/condition/attention-deficit-hyperactivity-disorder	2019-07	2020-08-18
Atypical hemolytic-uremic syndrome	https://medlineplus.gov/genetics/condition/atypical-hemolytic-uremic-syndrome	2010-06	2020-08-18
Au-Kline syndrome	https://medlineplus.gov/genetics/condition/au-kline-syndrome	2019-10	2020-08-18
Auriculo-condylar syndrome	https://medlineplus.gov/genetics/condition/auriculo-condylar-syndrome	2013-01	2020-08-18
Autism spectrum disorder	https://medlineplus.gov/genetics/condition/autism-spectrum-disorder	2021-10	2023-07-13
Autoimmune Addison disease	https://medlineplus.gov/genetics/condition/autoimmune-addison-disease	2017-01	2023-08-18
Autoimmune lymphoproliferative syndrome	https://medlineplus.gov/genetics/condition/autoimmune-lymphoproliferative-syndrome	2018-12	2020-08-18
Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy	https://medlineplus.gov/genetics/condition/autoimmune-polyendocrinopathy-candidiasis-ectodermal-dystrophy	2020-05	2020-08-18
Autosomal dominant cerebellar ataxia, deafness, and narcolepsy	https://medlineplus.gov/genetics/condition/autosomal-dominant-cerebellar-ataxia-deafness-and-narcolepsy	2017-07	2020-08-18
Autosomal dominant congenital stationary night blindness	https://medlineplus.gov/genetics/condition/autosomal-dominant-congenital-stationary-night-blindness	2013-11	2020-08-18
Autosomal dominant hyper-IgE syndrome	https://medlineplus.gov/genetics/condition/autosomal-dominant-hyper-ige-syndrome	2019-08	2021-04-07
Autosomal dominant hypocalcemia	https://medlineplus.gov/genetics/condition/autosomal-dominant-hypocalcemia	2015-02	2023-03-21
Autosomal dominant leukodystrophy with autonomic disease	https://medlineplus.gov/genetics/condition/autosomal-dominant-leukodystrophy-with-autonomic-disease	2020-12	2023-03-23
Autosomal dominant nocturnal frontal lobe epilepsy	https://medlineplus.gov/genetics/condition/autosomal-dominant-nocturnal-frontal-lobe-epilepsy	2009-04	2020-08-18
Autosomal dominant optic atrophy and cataract	https://medlineplus.gov/genetics/condition/autosomal-dominant-optic-atrophy-and-cataract	2019-02	2020-08-18
Autosomal dominant partial epilepsy with auditory features	https://medlineplus.gov/genetics/condition/autosomal-dominant-partial-epilepsy-with-auditory-features	2008-07	2020-08-18
Autosomal dominant vitreoretinochoroidopathy	https://medlineplus.gov/genetics/condition/autosomal-dominant-vitreoretinochoroidopathy	2014-11	2021-11-24
Autosomal recessive axonal neuropathy with neuromyotonia	https://medlineplus.gov/genetics/condition/autosomal-recessive-axonal-neuropathy-with-neuromyotonia	2014-09	2023-08-21
Autosomal recessive cerebellar ataxia type 1	https://medlineplus.gov/genetics/condition/autosomal-recessive-cerebellar-ataxia-type-1	2015-01	2020-08-18
Autosomal recessive congenital methemoglobinemia	https://medlineplus.gov/genetics/condition/autosomal-recessive-congenital-methemoglobinemia	2015-05	2020-08-18
Autosomal recessive congenital stationary night blindness	https://medlineplus.gov/genetics/condition/autosomal-recessive-congenital-stationary-night-blindness	2014-01	2020-08-18
Autosomal recessive hypotrichosis	https://medlineplus.gov/genetics/condition/autosomal-recessive-hypotrichosis	2013-04	2020-08-18
Autosomal recessive primary microcephaly	https://medlineplus.gov/genetics/condition/autosomal-recessive-primary-microcephaly	2011-04	2020-08-18
Autosomal recessive spastic ataxia of Charlevoix-Saguenay	https://medlineplus.gov/genetics/condition/autosomal-recessive-spastic-ataxia-of-charlevoix-saguenay	2020-02	2020-08-18
Axenfeld-Rieger syndrome	https://medlineplus.gov/genetics/condition/axenfeld-rieger-syndrome	2019-11	2020-08-18
BAP1 tumor predisposition syndrome	https://medlineplus.gov/genetics/condition/bap1-tumor-predisposition-syndrome	2017-01	2023-03-27
Baller-Gerold syndrome	https://medlineplus.gov/genetics/condition/baller-gerold-syndrome	2013-08	2023-03-21
Bannayan-Riley-Ruvalcaba syndrome	https://medlineplus.gov/genetics/condition/bannayan-riley-ruvalcaba-syndrome	2021-03	2023-03-27
Baraitser-Winter syndrome	https://medlineplus.gov/genetics/condition/baraitser-winter-syndrome	2013-04	2020-08-18
Bardet-Biedl syndrome	https://medlineplus.gov/genetics/condition/bardet-biedl-syndrome	2013-09	2020-08-18
Bare lymphocyte syndrome type I	https://medlineplus.gov/genetics/condition/bare-lymphocyte-syndrome-type-i	2017-08	2020-08-18
Bare lymphocyte syndrome type II	https://medlineplus.gov/genetics/condition/bare-lymphocyte-syndrome-type-ii	2017-06	2020-08-18
Bart-Pumphrey syndrome	https://medlineplus.gov/genetics/condition/bart-pumphrey-syndrome	2012-11	2020-08-18
Barth syndrome	https://medlineplus.gov/genetics/condition/barth-syndrome	2021-11	2021-11-24
Bartter syndrome	https://medlineplus.gov/genetics/condition/bartter-syndrome	2011-02	2020-08-18
Beare-Stevenson cutis gyrata syndrome	https://medlineplus.gov/genetics/condition/beare-stevenson-cutis-gyrata-syndrome	2020-06	2020-08-18
Beckwith-Wiedemann syndrome	https://medlineplus.gov/genetics/condition/beckwith-wiedemann-syndrome	2021-12	2023-07-26
Behçet disease	https://medlineplus.gov/genetics/condition/behcet-disease	2017-06	2020-08-18
Benign essential blepharospasm	https://medlineplus.gov/genetics/condition/benign-essential-blepharospasm	2010-05	2020-08-18
Benign familial neonatal seizures	https://medlineplus.gov/genetics/condition/benign-familial-neonatal-seizures	2021-05	2023-08-17
Benign recurrent intrahepatic cholestasis	https://medlineplus.gov/genetics/condition/benign-recurrent-intrahepatic-cholestasis	2012-04	2020-08-18
Bernard-Soulier syndrome	https://medlineplus.gov/genetics/condition/bernard-soulier-syndrome	2020-01	2020-08-18
Beta thalassemia	https://medlineplus.gov/genetics/condition/beta-thalassemia	2015-09	2023-05-01
Beta-ketothiolase deficiency	https://medlineplus.gov/genetics/condition/beta-ketothiolase-deficiency	2020-06	2021-04-07
Beta-mannosidosis	https://medlineplus.gov/genetics/condition/beta-mannosidosis	2008-01	2023-02-01
Beta-propeller protein-associated neurodegeneration	https://medlineplus.gov/genetics/condition/beta-propeller-protein-associated-neurodegeneration	2022-03	2023-08-22
Beta-ureidopropionase deficiency	https://medlineplus.gov/genetics/condition/beta-ureidopropionase-deficiency	2014-08	2020-08-18
Bietti crystalline dystrophy	https://medlineplus.gov/genetics/condition/bietti-crystalline-dystrophy	2012-11	2020-08-18
Biotin-thiamine-responsive basal ganglia disease	https://medlineplus.gov/genetics/condition/biotin-thiamine-responsive-basal-ganglia-disease	2014-01	2020-08-18
Biotinidase deficiency	https://medlineplus.gov/genetics/condition/biotinidase-deficiency	2014-12	2021-05-20
Bipolar disorder	https://medlineplus.gov/genetics/condition/bipolar-disorder	2021-02	2023-03-27
Birt-Hogg-Dubé syndrome	https://medlineplus.gov/genetics/condition/birt-hogg-dube-syndrome	2013-01	2020-08-18
Björnstad syndrome	https://medlineplus.gov/genetics/condition/bjornstad-syndrome	2014-03	2020-08-18
Bladder cancer	https://medlineplus.gov/genetics/condition/bladder-cancer	2021-01	2021-01-25
Blau syndrome	https://medlineplus.gov/genetics/condition/blau-syndrome	2020-01	2020-08-18
Blepharocheilodontic syndrome	https://medlineplus.gov/genetics/condition/blepharocheilodontic-syndrome	2017-08	2020-08-18
Blepharophimosis, ptosis, and epicanthus inversus syndrome	https://medlineplus.gov/genetics/condition/blepharophimosis-ptosis-and-epicanthus-inversus-syndrome	2013-10	2020-08-18
Bloom syndrome	https://medlineplus.gov/genetics/condition/bloom-syndrome	2015-04	2020-08-18
Bohring-Opitz syndrome	https://medlineplus.gov/genetics/condition/bohring-opitz-syndrome	2019-02	2020-08-18
Boomerang dysplasia	https://medlineplus.gov/genetics/condition/boomerang-dysplasia	2011-09	2020-08-18
Bosma arhinia microphthalmia syndrome	https://medlineplus.gov/genetics/condition/bosma-arhinia-microphthalmia-syndrome	2017-07	2023-03-21
Boucher-Neuhäuser syndrome	https://medlineplus.gov/genetics/condition/boucher-neuhauser-syndrome	2016-10	2020-08-18
Bowen-Conradi syndrome	https://medlineplus.gov/genetics/condition/bowen-conradi-syndrome	2015-02	2020-08-18
Bradyopsia	https://medlineplus.gov/genetics/condition/bradyopsia	2014-11	2020-08-18
Brain-lung-thyroid syndrome	https://medlineplus.gov/genetics/condition/brain-lung-thyroid-syndrome	2017-01	2023-03-21
Branchio-oculo-facial syndrome	https://medlineplus.gov/genetics/condition/branchio-oculo-facial-syndrome	2012-09	2020-08-18
Branchiootorenal/branchiootic syndrome	https://medlineplus.gov/genetics/condition/branchiootorenal-branchiootic-syndrome	2016-03	2020-08-18
Breast cancer	https://medlineplus.gov/genetics/condition/breast-cancer	2021-05	2023-03-27
Brody myopathy	https://medlineplus.gov/genetics/condition/brody-myopathy	2012-01	2020-08-18
Brugada syndrome	https://medlineplus.gov/genetics/condition/brugada-syndrome	2015-03	2020-08-18
Bunion	https://medlineplus.gov/genetics/condition/bunion	2018-08	2020-08-18
Burn-McKeown syndrome	https://medlineplus.gov/genetics/condition/burn-mckeown-syndrome	2016-08	2023-02-06
Buschke-Ollendorff syndrome	https://medlineplus.gov/genetics/condition/buschke-ollendorff-syndrome	2018-05	2023-03-21
C3 glomerulopathy	https://medlineplus.gov/genetics/condition/c3-glomerulopathy	2015-12	2020-08-18
CASK-related intellectual disability	https://medlineplus.gov/genetics/condition/cask-related-intellectual-disability	2014-03	2020-08-18
CATSPER1-related nonsyndromic male infertility	https://medlineplus.gov/genetics/condition/catsper1-related-nonsyndromic-male-infertility	2010-04	2020-08-18
CAV3-related distal myopathy	https://medlineplus.gov/genetics/condition/cav3-related-distal-myopathy	2014-05	2020-08-18
CDKL5 deficiency disorder	https://medlineplus.gov/genetics/condition/cdkl5-deficiency-disorder	2022-05	2023-03-27
CHARGE syndrome	https://medlineplus.gov/genetics/condition/charge-syndrome	2017-02	2020-08-18
CHD2 myoclonic encephalopathy	https://medlineplus.gov/genetics/condition/chd2-myoclonic-encephalopathy	2016-12	2020-08-18
CHMP2B-related frontotemporal dementia	https://medlineplus.gov/genetics/condition/chmp2b-related-frontotemporal-dementia	2010-08	2020-08-18
CHOPS syndrome	https://medlineplus.gov/genetics/condition/chops-syndrome	2015-11	2020-08-18
CHST3-related skeletal dysplasia	https://medlineplus.gov/genetics/condition/chst3-related-skeletal-dysplasia	2012-10	2023-03-21
CLCN2-related leukoencephalopathy	https://medlineplus.gov/genetics/condition/clcn2-related-leukoencephalopathy	2017-12	2020-08-18
CLN1 disease	https://medlineplus.gov/genetics/condition/cln1-disease	2018-03	2020-08-18
CLN10 disease	https://medlineplus.gov/genetics/condition/cln10-disease	2016-10	2020-08-18
CLN11 disease	https://medlineplus.gov/genetics/condition/cln11-disease	2020-04	2023-03-21
CLN2 disease	https://medlineplus.gov/genetics/condition/cln2-disease	2016-11	2020-08-18
CLN3 disease	https://medlineplus.gov/genetics/condition/cln3-disease	2021-02	2021-02-16
CLN4 disease	https://medlineplus.gov/genetics/condition/cln4-disease	2020-08	2020-08-18
CLN5 disease	https://medlineplus.gov/genetics/condition/cln5-disease	2021-02	2021-02-03
CLN6 disease	https://medlineplus.gov/genetics/condition/cln6-disease	2017-01	2023-08-18
CLN7 disease	https://medlineplus.gov/genetics/condition/cln7-disease	2021-06	2021-06-01
CLN8 disease	https://medlineplus.gov/genetics/condition/cln8-disease	2016-12	2020-08-18
CLPB deficiency	https://medlineplus.gov/genetics/condition/clpb-deficiency	2017-02	2023-08-22
COG5-congenital disorder of glycosylation	https://medlineplus.gov/genetics/condition/cog5-congenital-disorder-of-glycosylation	2014-08	2021-11-26
COL4A1-related brain small-vessel disease	https://medlineplus.gov/genetics/condition/col4a1-related-brain-small-vessel-disease	2011-09	2020-08-18
