id	name	ICD-10-CM	MeSH	OMIM	SNOMED CT	GTR	gene-symbol	ghr-page
1p36-deletion-syndrome	1p36 deletion syndrome		D025063	607872	699306003	C1842870	1	https://medlineplus.gov/genetics/chromosome/1
1q211-microdeletion	1q21.1 microdeletion		D025063	612474	699305004	C2675897	1	https://medlineplus.gov/genetics/chromosome/1
1q211-microdeletion	1q21.1 microdeletion		D025063	612474	699305004	C2675897	BCL9	https://www.ncbi.nlm.nih.gov/gene/607
1q211-microdeletion	1q21.1 microdeletion		D025063	612474	699305004	C2675897	FMO5	https://www.ncbi.nlm.nih.gov/gene/2330
1q211-microdeletion	1q21.1 microdeletion		D025063	612474	699305004	C2675897	GJA5	https://www.ncbi.nlm.nih.gov/gene/2702
1q211-microdeletion	1q21.1 microdeletion		D025063	612474	699305004	C2675897	GJA8	https://www.ncbi.nlm.nih.gov/gene/2703
1q211-microdeletion	1q21.1 microdeletion		D025063	612474	699305004	C2675897	PRKAB2	https://www.ncbi.nlm.nih.gov/gene/5565
1q211-microdeletion	1q21.1 microdeletion		D025063	612474	699305004	C2675897	CHD1L	https://www.ncbi.nlm.nih.gov/gene/9557
1q211-microdeletion	1q21.1 microdeletion		D025063	612474	699305004	C2675897	ACP6	https://www.ncbi.nlm.nih.gov/gene/51205
1q211-microdeletion	1q21.1 microdeletion		D025063	612474	699305004	C2675897	GPR89B	https://www.ncbi.nlm.nih.gov/gene/51463
1q211-microdeletion	1q21.1 microdeletion		D025063	612474	699305004	C2675897	HYDIN	https://www.ncbi.nlm.nih.gov/gene/54768
1q211-microduplication	1q21.1 microduplication		D025063	612475	79649006	C2675891	1	https://medlineplus.gov/genetics/chromosome/1
2-hydroxyglutaric-aciduria	2-hydroxyglutaric aciduria		D020739	236792,613657,615182,600721	698870008,237960000,237961001	C3152055,C1855995,C2746066,C3150909	L2HGDH	https://medlineplus.gov/genetics/gene/l2hgdh
2-hydroxyglutaric-aciduria	2-hydroxyglutaric aciduria		D020739	236792,613657,615182,600721	698870008,237960000,237961001	C3152055,C1855995,C2746066,C3150909	D2HGDH	https://medlineplus.gov/genetics/gene/d2hgdh
2-hydroxyglutaric-aciduria	2-hydroxyglutaric aciduria		D020739	236792,613657,615182,600721	698870008,237960000,237961001	C3152055,C1855995,C2746066,C3150909	IDH2	https://medlineplus.gov/genetics/gene/idh2
2-hydroxyglutaric-aciduria	2-hydroxyglutaric aciduria		D020739	236792,613657,615182,600721	698870008,237960000,237961001	C3152055,C1855995,C2746066,C3150909	SLC25A1	https://medlineplus.gov/genetics/gene/slc25a1
21-hydroxylase-deficiency	21-hydroxylase deficiency	E25.0	D000312	201910	237753002,71578002,717261006,124221007,840509001,52604008	C1859995,C2936858	CYP21A2	https://medlineplus.gov/genetics/gene/cyp21a2
22q112-deletion-syndrome	22q11.2 deletion syndrome	D82.1,Q93.81	D004062	145420,192430,188400	77128003,449818005,83092002	CN032444,C0220704,C0012236	TBX1	https://medlineplus.gov/genetics/gene/tbx1
22q112-deletion-syndrome	22q11.2 deletion syndrome	D82.1,Q93.81	D004062	145420,192430,188400	77128003,449818005,83092002	CN032444,C0220704,C0012236	COMT	https://medlineplus.gov/genetics/gene/comt
22q112-deletion-syndrome	22q11.2 deletion syndrome	D82.1,Q93.81	D004062	145420,192430,188400	77128003,449818005,83092002	CN032444,C0220704,C0012236	22	https://medlineplus.gov/genetics/chromosome/22
22q112-duplication	22q11.2 duplication		D025063	608363	699311001	C2675369	22	https://medlineplus.gov/genetics/chromosome/22
22q133-deletion-syndrome	22q13.3 deletion syndrome		D025063	606232	699310000	C1853490	SHANK3	https://medlineplus.gov/genetics/gene/shank3
22q133-deletion-syndrome	22q13.3 deletion syndrome		D025063	606232	699310000	C1853490	22	https://medlineplus.gov/genetics/chromosome/22
2q37-deletion-syndrome	2q37 deletion syndrome		D025063	600430	702357000	C2931817	HDAC4	https://medlineplus.gov/genetics/gene/hdac4
2q37-deletion-syndrome	2q37 deletion syndrome		D025063	600430	702357000	C2931817	2	https://medlineplus.gov/genetics/chromosome/2
3-m-syndrome	3-M syndrome		D004392	614205,612921,273750	702342007	C1848862	CUL7	https://medlineplus.gov/genetics/gene/cul7
3-m-syndrome	3-M syndrome		D004392	614205,612921,273750	702342007	C1848862	OBSL1	https://medlineplus.gov/genetics/gene/obsl1
3-m-syndrome	3-M syndrome		D004392	614205,612921,273750	702342007	C1848862	CCDC8	https://www.ncbi.nlm.nih.gov/gene/83987
3-beta-hydroxysteroid-dehydrogenase-deficiency	3-beta-hydroxysteroid dehydrogenase deficiency	E25.0	D000312	201810	124136000,54470008	C0342471	HSD3B2	https://medlineplus.gov/genetics/gene/hsd3b2
3-hydroxy-3-methylglutaryl-coa-lyase-deficiency	3-hydroxy-3-methylglutaryl-CoA lyase deficiency		D000592	246450	124611007,410059004	C0268601	HMGCL	https://medlineplus.gov/genetics/gene/hmgcl
3-hydroxyacyl-coa-dehydrogenase-deficiency	3-hydroxyacyl-CoA dehydrogenase deficiency		D008052	231530	124122005	C1291230	HADH	https://medlineplus.gov/genetics/gene/hadh
3-methylcrotonyl-coa-carboxylase-deficiency	3-methylcrotonyl-CoA carboxylase deficiency		D008661	210200,210210	13144005	C1859499,C0268600	MCCC1	https://medlineplus.gov/genetics/gene/mccc1
3-methylcrotonyl-coa-carboxylase-deficiency	3-methylcrotonyl-CoA carboxylase deficiency		D008661	210200,210210	13144005	C1859499,C0268600	MCCC2	https://medlineplus.gov/genetics/gene/mccc2
3-methylglutaconyl-coa-hydratase-deficiency	3-methylglutaconyl-CoA hydratase deficiency	E71.111	D000592	250950	237951008	C0342727	AUH	https://medlineplus.gov/genetics/gene/auh
3mc-syndrome	3MC syndrome		D019465	257920,265050,248340	720756005	C0796279,C0796059,C0796032	COLEC11	https://medlineplus.gov/genetics/gene/colec11
3mc-syndrome	3MC syndrome		D019465	257920,265050,248340	720756005	C0796279,C0796059,C0796032	MASP1	https://medlineplus.gov/genetics/gene/masp1
3mc-syndrome	3MC syndrome		D019465	257920,265050,248340	720756005	C0796279,C0796059,C0796032	COLEC10	https://medlineplus.gov/genetics/gene/colec10
3p-deletion-syndrome	3p deletion syndrome		D002872	613792	449819002	C0795806	3	https://medlineplus.gov/genetics/chromosome/3
3q29-microdeletion-syndrome	3q29 microdeletion syndrome		D008607,D002872	609425	716456000	C2674949	3	https://medlineplus.gov/genetics/chromosome/3
3q29-microduplication-syndrome	3q29 microduplication syndrome		D058674,D008607	611936	717973004	C2749873	3	https://medlineplus.gov/genetics/chromosome/3
46xx-testicular-difference-of-sex-development	46,XX testicular difference of sex development		D058531	400045	74398009	C2936419	SRY	https://medlineplus.gov/genetics/gene/sry
46xx-testicular-difference-of-sex-development	46,XX testicular difference of sex development		D058531	400045	74398009	C2936419	NR5A1	https://medlineplus.gov/genetics/gene/nr5a1
46xx-testicular-difference-of-sex-development	46,XX testicular difference of sex development		D058531	400045	74398009	C2936419	WT1	https://medlineplus.gov/genetics/gene/wt1
46xx-testicular-difference-of-sex-development	46,XX testicular difference of sex development		D058531	400045	74398009	C2936419	SOX9	https://medlineplus.gov/genetics/gene/sox9
46xx-testicular-difference-of-sex-development	46,XX testicular difference of sex development		D058531	400045	74398009	C2936419	SOX3	https://www.ncbi.nlm.nih.gov/gene/6658
46xx-testicular-difference-of-sex-development	46,XX testicular difference of sex development		D058531	400045	74398009	C2936419	X chromosome	https://medlineplus.gov/genetics/chromosome/x
46xx-testicular-difference-of-sex-development	46,XX testicular difference of sex development		D058531	400045	74398009	C2936419	Y chromosome	https://medlineplus.gov/genetics/chromosome/y
47xyy-syndrome	47,XYY syndrome	Q98.5	D014997		50749006	C3266843	Y chromosome	https://medlineplus.gov/genetics/chromosome/y
48xxxy-syndrome	48,XXXY syndrome	Q98.1	D007713		78317008,275263003		X chromosome	https://medlineplus.gov/genetics/chromosome/x
48xxyy-syndrome	48,XXYY syndrome		D007713		403760006	C0036868	X chromosome	https://medlineplus.gov/genetics/chromosome/x
48xxyy-syndrome	48,XXYY syndrome		D007713		403760006	C0036868	Y chromosome	https://medlineplus.gov/genetics/chromosome/y
49xxxxy-syndrome	49,XXXXY syndrome	Q98.1	D007713		38847009,275264009		X chromosome	https://medlineplus.gov/genetics/chromosome/x
5-alpha-reductase-deficiency	5-alpha reductase deficiency		D058490	264600	57514000,738771004	C0268297	SRD5A2	https://medlineplus.gov/genetics/gene/srd5a2
5q-minus-syndrome	5q minus syndrome	D46.C	D009190	153550	277597005	C0740302	RPS14	https://medlineplus.gov/genetics/gene/rps14
5q-minus-syndrome	5q minus syndrome	D46.C	D009190	153550	277597005	C0740302	MIR145	https://medlineplus.gov/genetics/gene/mir145
5q-minus-syndrome	5q minus syndrome	D46.C	D009190	153550	277597005	C0740302	MIR146A	https://medlineplus.gov/genetics/gene/mir146a
5q-minus-syndrome	5q minus syndrome	D46.C	D009190	153550	277597005	C0740302	5	https://medlineplus.gov/genetics/chromosome/5
5q313-microdeletion-syndrome	5q31.3 microdeletion syndrome		D065886			C4015357	PURA	https://medlineplus.gov/genetics/gene/pura
5q313-microdeletion-syndrome	5q31.3 microdeletion syndrome		D065886			C4015357	NRG2	https://www.ncbi.nlm.nih.gov/gene/9542
5q313-microdeletion-syndrome	5q31.3 microdeletion syndrome		D065886			C4015357	5	https://medlineplus.gov/genetics/chromosome/5
6q24-related-transient-neonatal-diabetes-mellitus	6q24-related transient neonatal diabetes mellitus		D003920	601410	609579009	C1832386	PLAGL1	https://medlineplus.gov/genetics/gene/plagl1
6q24-related-transient-neonatal-diabetes-mellitus	6q24-related transient neonatal diabetes mellitus		D003920	601410	609579009	C1832386	ZFP57	https://medlineplus.gov/genetics/gene/zfp57
6q24-related-transient-neonatal-diabetes-mellitus	6q24-related transient neonatal diabetes mellitus		D003920	601410	609579009	C1832386	HYMAI	https://www.ncbi.nlm.nih.gov/gene/57061
6q24-related-transient-neonatal-diabetes-mellitus	6q24-related transient neonatal diabetes mellitus		D003920	601410	609579009	C1832386	6	https://medlineplus.gov/genetics/chromosome/6
7q1123-duplication-syndrome	7q11.23 duplication syndrome		D058674	609757	726707004	C1857844	ELN	https://medlineplus.gov/genetics/gene/eln
7q1123-duplication-syndrome	7q11.23 duplication syndrome		D058674	609757	726707004	C1857844	GTF2I	https://medlineplus.gov/genetics/gene/gtf2i
7q1123-duplication-syndrome	7q11.23 duplication syndrome		D058674	609757	726707004	C1857844	7	https://medlineplus.gov/genetics/chromosome/7
8p11-myeloproliferative-syndrome	8p11 myeloproliferative syndrome		D009196	613523	450942006	C3150773	FGFR1	https://medlineplus.gov/genetics/gene/fgfr1
8p11-myeloproliferative-syndrome	8p11 myeloproliferative syndrome		D009196	613523	450942006	C3150773	ZMYM2	https://medlineplus.gov/genetics/gene/zmym2
8p11-myeloproliferative-syndrome	8p11 myeloproliferative syndrome		D009196	613523	450942006	C3150773	8	https://medlineplus.gov/genetics/chromosome/8
8p11-myeloproliferative-syndrome	8p11 myeloproliferative syndrome		D009196	613523	450942006	C3150773	13	https://medlineplus.gov/genetics/chromosome/13
9q223-microdeletion	9q22.3 microdeletion		D025063	109400	711489004	C0004779,C3711390	PTCH1	https://medlineplus.gov/genetics/gene/ptch1
9q223-microdeletion	9q22.3 microdeletion		D025063	109400	711489004	C0004779,C3711390	9	https://medlineplus.gov/genetics/chromosome/9
acad9-deficiency	ACAD9 deficiency		D028361	611126	725046003	C4747517	ACAD9	https://medlineplus.gov/genetics/gene/acad9
adcy5-related-dyskinesia	ADCY5-related dyskinesia		D020820	606703	9748009	C5551343	ADCY5	https://medlineplus.gov/genetics/gene/adcy5
adnp-syndrome	ADNP syndrome		D065886	615873		C4014538	ADNP	https://medlineplus.gov/genetics/gene/adnp
alg1-congenital-disorder-of-glycosylation	ALG1-congenital disorder of glycosylation		D018981	608540	720941007	C2931005	ALG1	https://medlineplus.gov/genetics/gene/alg1
alg12-congenital-disorder-of-glycosylation	ALG12-congenital disorder of glycosylation		D018981	607143	711155008	C2931001	ALG12	https://medlineplus.gov/genetics/gene/alg12
alg6-congenital-disorder-of-glycosylation	ALG6-congenital disorder of glycosylation		D018981	603147	709412006	C2930997	ALG6	https://medlineplus.gov/genetics/gene/alg6
aarskog-scott-syndrome	Aarskog-Scott syndrome		D040181	305400	14921002	C0175701	FGD1	https://medlineplus.gov/genetics/gene/fgd1
abetalipoproteinemia	Abetalipoproteinemia	E78.6	D000012	200100	190787008	C0000744	MTTP	https://medlineplus.gov/genetics/gene/mttp
acatalasemia	Acatalasemia	E80.3	D020642	614097	267454002	C0268419	CAT	https://medlineplus.gov/genetics/gene/cat
aceruloplasminemia	Aceruloplasminemia		D019189	604290	124224004	C0878682	CP	https://medlineplus.gov/genetics/gene/cp
achondrogenesis	Achondrogenesis	Q77.0	D010009	200600,200610,600972	2391001,254061001,14870002	C0265273,C0220685,C0265274	COL2A1	https://medlineplus.gov/genetics/gene/col2a1
achondrogenesis	Achondrogenesis	Q77.0	D010009	200600,200610,600972	2391001,254061001,14870002	C0265273,C0220685,C0265274	SLC26A2	https://medlineplus.gov/genetics/gene/slc26a2
achondrogenesis	Achondrogenesis	Q77.0	D010009	200600,200610,600972	2391001,254061001,14870002	C0265273,C0220685,C0265274	TRIP11	https://medlineplus.gov/genetics/gene/trip11
achondroplasia	Achondroplasia	Q77.4	D000130	100800	86268005	C0001080	FGFR3	https://medlineplus.gov/genetics/gene/fgfr3
achromatopsia	Achromatopsia	H53.51	D003117	610024,613093,262300,613856,216900	56852002	C2751309,C0152200,C1841721,C1857618,C1849792,C3552227	CNGA3	https://medlineplus.gov/genetics/gene/cnga3
achromatopsia	Achromatopsia	H53.51	D003117	610024,613093,262300,613856,216900	56852002	C2751309,C0152200,C1841721,C1857618,C1849792,C3552227	CNGB3	https://medlineplus.gov/genetics/gene/cngb3
achromatopsia	Achromatopsia	H53.51	D003117	610024,613093,262300,613856,216900	56852002	C2751309,C0152200,C1841721,C1857618,C1849792,C3552227	GNAT2	https://medlineplus.gov/genetics/gene/gnat2
achromatopsia	Achromatopsia	H53.51	D003117	610024,613093,262300,613856,216900	56852002	C2751309,C0152200,C1841721,C1857618,C1849792,C3552227	PDE6C	https://medlineplus.gov/genetics/gene/pde6c
achromatopsia	Achromatopsia	H53.51	D003117	610024,613093,262300,613856,216900	56852002	C2751309,C0152200,C1841721,C1857618,C1849792,C3552227	PDE6H	https://medlineplus.gov/genetics/gene/pde6h
acrocallosal-syndrome	Acrocallosal syndrome		D055673	200990	715951007	C0796147	GLI3	https://medlineplus.gov/genetics/gene/gli3
acrocallosal-syndrome	Acrocallosal syndrome		D055673	200990	715951007	C0796147	KIF7	https://medlineplus.gov/genetics/gene/kif7
acromicric-dysplasia	Acromicric dysplasia		D010009	102370	254090007	C0265287	FBN1	https://medlineplus.gov/genetics/gene/fbn1
actin-accumulation-myopathy	Actin-accumulation myopathy		D017696	161800	702349003	C3711389	ACTA1	https://medlineplus.gov/genetics/gene/acta1
action-myoclonus-renal-failure-syndrome	Action myoclonus–renal failure syndrome		D020191	254900		C0751779	SCARB2	https://medlineplus.gov/genetics/gene/scarb2
activated-pi3k-delta-syndrome	Activated PI3K-delta syndrome		D007153	615513,616005	711480000	C4014934,C3714976	PIK3R1	https://medlineplus.gov/genetics/gene/pik3r1
activated-pi3k-delta-syndrome	Activated PI3K-delta syndrome		D007153	615513,616005	711480000	C4014934,C3714976	PIK3CD	https://medlineplus.gov/genetics/gene/pik3cd
acute-necrotizing-encephalopathy-type-1	Acute necrotizing encephalopathy type 1	G04.31	D001930	608033	111897007		RANBP2	https://medlineplus.gov/genetics/gene/ranbp2
acute-promyelocytic-leukemia	Acute promyelocytic leukemia	C92.42,C92.41,C92.4,C92.40	D015473	612376	28950004,110004001	C0023487	RARA	https://medlineplus.gov/genetics/gene/rara
acute-promyelocytic-leukemia	Acute promyelocytic leukemia	C92.42,C92.41,C92.4,C92.40	D015473	612376	28950004,110004001	C0023487	PML	https://medlineplus.gov/genetics/gene/pml
acute-promyelocytic-leukemia	Acute promyelocytic leukemia	C92.42,C92.41,C92.4,C92.40	D015473	612376	28950004,110004001	C0023487	NPM1	https://medlineplus.gov/genetics/gene/npm1
acute-promyelocytic-leukemia	Acute promyelocytic leukemia	C92.42,C92.41,C92.4,C92.40	D015473	612376	28950004,110004001	C0023487	NUMA1	https://www.ncbi.nlm.nih.gov/gene/4926
acute-promyelocytic-leukemia	Acute promyelocytic leukemia	C92.42,C92.41,C92.4,C92.40	D015473	612376	28950004,110004001	C0023487	STAT5B	https://www.ncbi.nlm.nih.gov/gene/6777
acute-promyelocytic-leukemia	Acute promyelocytic leukemia	C92.42,C92.41,C92.4,C92.40	D015473	612376	28950004,110004001	C0023487	ZBTB16	https://www.ncbi.nlm.nih.gov/gene/7704
acute-promyelocytic-leukemia	Acute promyelocytic leukemia	C92.42,C92.41,C92.4,C92.40	D015473	612376	28950004,110004001	C0023487	15	https://medlineplus.gov/genetics/chromosome/15
acute-promyelocytic-leukemia	Acute promyelocytic leukemia	C92.42,C92.41,C92.4,C92.40	D015473	612376	28950004,110004001	C0023487	17	https://medlineplus.gov/genetics/chromosome/17
adams-oliver-syndrome	Adams-Oliver syndrome		D004476	615297,616589,614219,616028,614814,100300	34748004	C3553748,C0265268,C3280182,C4551482,C4014970,C4225271,C3809092	ARHGAP31	https://medlineplus.gov/genetics/gene/arhgap31
adams-oliver-syndrome	Adams-Oliver syndrome		D004476	615297,616589,614219,616028,614814,100300	34748004	C3553748,C0265268,C3280182,C4551482,C4014970,C4225271,C3809092	DOCK6	https://medlineplus.gov/genetics/gene/dock6
adams-oliver-syndrome	Adams-Oliver syndrome		D004476	615297,616589,614219,616028,614814,100300	34748004	C3553748,C0265268,C3280182,C4551482,C4014970,C4225271,C3809092	EOGT	https://medlineplus.gov/genetics/gene/eogt
adams-oliver-syndrome	Adams-Oliver syndrome		D004476	615297,616589,614219,616028,614814,100300	34748004	C3553748,C0265268,C3280182,C4551482,C4014970,C4225271,C3809092	RBPJ	https://medlineplus.gov/genetics/gene/rbpj
adams-oliver-syndrome	Adams-Oliver syndrome		D004476	615297,616589,614219,616028,614814,100300	34748004	C3553748,C0265268,C3280182,C4551482,C4014970,C4225271,C3809092	NOTCH1	https://medlineplus.gov/genetics/gene/notch1
adams-oliver-syndrome	Adams-Oliver syndrome		D004476	615297,616589,614219,616028,614814,100300	34748004	C3553748,C0265268,C3280182,C4551482,C4014970,C4225271,C3809092	DLL4	https://medlineplus.gov/genetics/gene/dll4
adenine-phosphoribosyltransferase-deficiency	Adenine phosphoribosyltransferase deficiency		D011686	614723	124274002,238010006,65791008,238009001	C0268120	APRT	https://medlineplus.gov/genetics/gene/aprt
adenosine-deaminase-2-deficiency	Adenosine deaminase 2 deficiency	M30.0	D056647	182410,615688	155441006	C3887654,C0282492	ADA2	https://medlineplus.gov/genetics/gene/ada2
adenosine-deaminase-deficiency	Adenosine deaminase deficiency	D81.3	D016511	102700	44940001	C1863236	ADA	https://medlineplus.gov/genetics/gene/ada
adenosine-monophosphate-deaminase-deficiency	Adenosine monophosphate deaminase deficiency	E79.2	D011686	615511	124525004,9105005	C3714933	AMPD1	https://medlineplus.gov/genetics/gene/ampd1
adenylosuccinate-lyase-deficiency	Adenylosuccinate lyase deficiency		D011686	103050	15285008	C0268126	ADSL	https://medlineplus.gov/genetics/gene/adsl
adermatoglyphia	Adermatoglyphia		D003878	136000,129200	83145004		SMARCAD1	https://medlineplus.gov/genetics/gene/smarcad1
adult-polyglucosan-body-disease	Adult polyglucosan body disease		D006008,D002493	263570	721099001	C1849722	GBE1	https://medlineplus.gov/genetics/gene/gbe1
adult-onset-leukoencephalopathy-with-axonal-spheroids-and-pigmented-glia	Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia		D056784	221820	702427005	C3711381	CSF1R	https://medlineplus.gov/genetics/gene/csf1r
african-iron-overload	African iron overload		D012806	601195	66576001		SLC40A1	https://medlineplus.gov/genetics/gene/slc40a1
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		APOE	https://medlineplus.gov/genetics/gene/apoe
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		MYO7A	https://medlineplus.gov/genetics/gene/myo7a
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		CDH23	https://medlineplus.gov/genetics/gene/cdh23
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		KCNQ4	https://medlineplus.gov/genetics/gene/kcnq4
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		SLC26A4	https://medlineplus.gov/genetics/gene/slc26a4
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		MTHFR	https://medlineplus.gov/genetics/gene/mthfr
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		NAT2	https://www.ncbi.nlm.nih.gov/gene/10
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		EDN1	https://www.ncbi.nlm.nih.gov/gene/1906
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		ESRRG	https://www.ncbi.nlm.nih.gov/gene/2104
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		GRM7	https://www.ncbi.nlm.nih.gov/gene/2917
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		GRM8	https://www.ncbi.nlm.nih.gov/gene/2918
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		MYO6	https://www.ncbi.nlm.nih.gov/gene/4646
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		UCP2	https://www.ncbi.nlm.nih.gov/gene/7351
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		GRHL2	https://www.ncbi.nlm.nih.gov/gene/79977
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		GIPC3	https://www.ncbi.nlm.nih.gov/gene/126326
age-related-hearing-loss	Age-related hearing loss	H91.1,H91.10,H91.11,H91.12,H91.13	D011304	612448,612976	49526009		Mitochondrial DNA	https://medlineplus.gov/genetics/chromosome/mitochondrial-dna
age-related-macular-degeneration	Age-related macular degeneration	H35.31,H35.30,H35.32	D008268	610698,615439,613761,613757,611488,611378,613778,608895,615591,603075,611953,613784,615489,610149,153800	267718000	C1857813,C1969651,C3495438,C2677774,C3151060,C3151079,C3151070,C3809523,C3809653,C3151063,C0242383,C3810042,C1969108,C1864205,C1853147	APOE	https://medlineplus.gov/genetics/gene/apoe
age-related-macular-degeneration	Age-related macular degeneration	H35.31,H35.30,H35.32	D008268	610698,615439,613761,613757,611488,611378,613778,608895,615591,603075,611953,613784,615489,610149,153800	267718000	C1857813,C1969651,C3495438,C2677774,C3151060,C3151079,C3151070,C3809523,C3809653,C3151063,C0242383,C3810042,C1969108,C1864205,C1853147	ERCC6	https://medlineplus.gov/genetics/gene/ercc6
age-related-macular-degeneration	Age-related macular degeneration	H35.31,H35.30,H35.32	D008268	610698,615439,613761,613757,611488,611378,613778,608895,615591,603075,611953,613784,615489,610149,153800	267718000	C1857813,C1969651,C3495438,C2677774,C3151060,C3151079,C3151070,C3809523,C3809653,C3151063,C0242383,C3810042,C1969108,C1864205,C1853147	BEST1	https://medlineplus.gov/genetics/gene/best1
age-related-macular-degeneration	Age-related macular degeneration	H35.31,H35.30,H35.32	D008268	610698,615439,613761,613757,611488,611378,613778,608895,615591,603075,611953,613784,615489,610149,153800	267718000	C1857813,C1969651,C3495438,C2677774,C3151060,C3151079,C3151070,C3809523,C3809653,C3151063,C0242383,C3810042,C1969108,C1864205,C1853147	FBLN5	https://medlineplus.gov/genetics/gene/fbln5
age-related-macular-degeneration	Age-related macular degeneration	H35.31,H35.30,H35.32	D008268	610698,615439,613761,613757,611488,611378,613778,608895,615591,603075,611953,613784,615489,610149,153800	267718000	C1857813,C1969651,C3495438,C2677774,C3151060,C3151079,C3151070,C3809523,C3809653,C3151063,C0242383,C3810042,C1969108,C1864205,C1853147	CFH	https://medlineplus.gov/genetics/gene/cfh
